period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,10523,772,7.34
3_Month,0-9,21451,2906,13.55
6_Month,0-9,55730,13033,23.39
1_Year,0-9,924545,422212,45.67
All,0-9,1717518,768229,44.73
1_Month,10-19,11806,2082,17.64
3_Month,10-19,29025,7781,26.81
6_Month,10-19,67146,17110,25.48
1_Year,10-19,831262,412697,49.65
All,10-19,1632876,811642,49.71
1_Month,20-29,17884,3489,19.51
3_Month,20-29,42856,11645,27.17
6_Month,20-29,95781,26015,27.16
1_Year,20-29,815343,317192,38.9
All,20-29,1480385,610305,41.23
1_Month,30-39,16464,3487,21.18
3_Month,30-39,41168,12274,29.81
6_Month,30-39,96003,30033,31.28
1_Year,30-39,816905,373277,45.69
All,30-39,1377107,618803,44.93
1_Month,40-49,16803,3839,22.85
3_Month,40-49,42750,13763,32.19
6_Month,40-49,95180,31804,33.41
1_Year,40-49,755558,352966,46.72
All,40-49,1223865,563260,46.02
1_Month,50-59,17048,3804,22.31
3_Month,50-59,43452,14086,32.42
6_Month,50-59,93015,32304,34.73
1_Year,50-59,610944,266602,43.64
All,50-59,959584,405101,42.22
1_Month,60-69,19356,4086,21.11
3_Month,60-69,49068,15399,31.38
6_Month,60-69,103637,37041,35.74
1_Year,60-69,525608,219174,41.7
All,60-69,794100,312688,39.38
1_Month,70-79,21677,3902,18
3_Month,70-79,51368,15022,29.24
6_Month,70-79,101580,36715,36.14
1_Year,70-79,361861,157044,43.4
All,70-79,520952,206385,39.62
1_Month,80-89,19510,2459,12.6
3_Month,80-89,36929,8335,22.57
6_Month,80-89,60305,18775,31.13
1_Year,80-89,145746,66429,45.58
All,80-89,224091,88327,39.42
1_Month,90+,7087,719,10.15
3_Month,90+,12612,2439,19.34
6_Month,90+,18812,5204,27.66
1_Year,90+,35929,16776,46.69
All,90+,59327,23062,38.87
