section,male,female,period
0-9,"{'amount': 9, 'percentage': 0.4}","{'amount': 6, 'percentage': 0.2}",6 חודשים
0-9,"{'amount': 63, 'percentage': 0.6}","{'amount': 42, 'percentage': 0.4}",שנה
0-9,"{'amount': 5, 'percentage': 0.4}","{'amount': 4, 'percentage': 0.3}",3 חודשים
0-9,"{'amount': 4, 'percentage': 0.8}","{'amount': 4, 'percentage': 0.8}",חודש אחרון
0-9,"{'amount': 129, 'percentage': 0.4}","{'amount': 82, 'percentage': 0.2}",מתחילת קורונה
10-19,"{'amount': 3, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 83, 'percentage': 0.3}","{'amount': 84, 'percentage': 0.3}",מתחילת קורונה
10-19,"{'amount': 25, 'percentage': 0.2}","{'amount': 19, 'percentage': 0.2}",שנה
10-19,"{'amount': 2, 'percentage': 0.2}","{'amount': 4, 'percentage': 0.3}",3 חודשים
10-19,"{'amount': 2, 'percentage': 0.4}","{'amount': 2, 'percentage': 0.4}",חודש אחרון
20-29,"{'amount': 10, 'percentage': 0.4}","{'amount': 9, 'percentage': 0.4}",6 חודשים
20-29,"{'amount': 3, 'percentage': 0.6}","{'amount': 2, 'percentage': 0.4}",חודש אחרון
20-29,"{'amount': 44, 'percentage': 0.4}","{'amount': 35, 'percentage': 0.3}",שנה
20-29,"{'amount': 3, 'percentage': 0.3}","{'amount': 3, 'percentage': 0.3}",3 חודשים
20-29,"{'amount': 254, 'percentage': 0.8}","{'amount': 287, 'percentage': 0.9}",מתחילת קורונה
30-39,"{'amount': 15, 'percentage': 0.6}","{'amount': 17, 'percentage': 0.7}",6 חודשים
30-39,"{'amount': 75, 'percentage': 0.7}","{'amount': 78, 'percentage': 0.8}",שנה
30-39,"{'amount': 8, 'percentage': 0.7}","{'amount': 10, 'percentage': 0.9}",3 חודשים
30-39,"{'amount': 5, 'percentage': 1}","{'amount': 3, 'percentage': 0.6}",חודש אחרון
30-39,"{'amount': 650, 'percentage': 2}","{'amount': 613, 'percentage': 1.9}",מתחילת קורונה
40-49,"{'amount': 21, 'percentage': 0.8}","{'amount': 14, 'percentage': 0.6}",6 חודשים
40-49,"{'amount': 158, 'percentage': 1.5}","{'amount': 98, 'percentage': 1}",שנה
40-49,"{'amount': 10, 'percentage': 0.9}","{'amount': 3, 'percentage': 0.3}",3 חודשים
40-49,"{'amount': 5, 'percentage': 1}","{'amount': 1, 'percentage': 0.2}",חודש אחרון
40-49,"{'amount': 1445, 'percentage': 4.4}","{'amount': 988, 'percentage': 3}",מתחילת קורונה
50-59,"{'amount': 72, 'percentage': 2.8}","{'amount': 43, 'percentage': 1.7}",6 חודשים
50-59,"{'amount': 377, 'percentage': 3.7}","{'amount': 253, 'percentage': 2.5}",שנה
50-59,"{'amount': 35, 'percentage': 3.1}","{'amount': 19, 'percentage': 1.7}",3 חודשים
50-59,"{'amount': 2337, 'percentage': 7.1}","{'amount': 1641, 'percentage': 5}",מתחילת קורונה
50-59,"{'amount': 13, 'percentage': 2.6}","{'amount': 8, 'percentage': 1.6}",חודש אחרון
60-69,"{'amount': 185, 'percentage': 7.3}","{'amount': 121, 'percentage': 4.8}",6 חודשים
60-69,"{'amount': 844, 'percentage': 8.2}","{'amount': 573, 'percentage': 5.6}",שנה
60-69,"{'amount': 75, 'percentage': 6.6}","{'amount': 46, 'percentage': 4}",3 חודשים
60-69,"{'amount': 31, 'percentage': 6.3}","{'amount': 19, 'percentage': 3.8}",חודש אחרון
60-69,"{'amount': 3584, 'percentage': 10.8}","{'amount': 2406, 'percentage': 7.3}",מתחילת קורונה
70-79,"{'amount': 387, 'percentage': 15.3}","{'amount': 300, 'percentage': 11.9}",6 חודשים
70-79,"{'amount': 1473, 'percentage': 14.3}","{'amount': 1126, 'percentage': 11}",שנה
70-79,"{'amount': 4274, 'percentage': 12.9}","{'amount': 3267, 'percentage': 9.9}",מתחילת קורונה
70-79,"{'amount': 176, 'percentage': 15.4}","{'amount': 147, 'percentage': 12.8}",3 חודשים
70-79,"{'amount': 77, 'percentage': 15.6}","{'amount': 67, 'percentage': 13.6}",חודש אחרון
80-89,"{'amount': 454, 'percentage': 18}","{'amount': 434, 'percentage': 17.2}",6 חודשים
80-89,"{'amount': 1657, 'percentage': 16.1}","{'amount': 1656, 'percentage': 16.1}",שנה
80-89,"{'amount': 212, 'percentage': 18.5}","{'amount': 191, 'percentage': 16.7}",3 חודשים
80-89,"{'amount': 91, 'percentage': 18.4}","{'amount': 75, 'percentage': 15.2}",חודש אחרון
80-89,"{'amount': 3772, 'percentage': 11.4}","{'amount': 3847, 'percentage': 11.6}",מתחילת קורונה
90+,"{'amount': 174, 'percentage': 6.9}","{'amount': 251, 'percentage': 9.9}",6 חודשים
90+,"{'amount': 702, 'percentage': 6.8}","{'amount': 967, 'percentage': 9.4}",שנה
90+,"{'amount': 83, 'percentage': 7.2}","{'amount': 109, 'percentage': 9.5}",3 חודשים
90+,"{'amount': 40, 'percentage': 8.1}","{'amount': 42, 'percentage': 8.5}",חודש אחרון
90+,"{'amount': 1335, 'percentage': 4}","{'amount': 1976, 'percentage': 6}",מתחילת קורונה
