instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,57,61.4,2022-04-02T00:00:00.000Z
הכרמל,72.6,72.8,2022-04-02T00:00:00.000Z
מאיר,74,84.7,2022-04-02T00:00:00.000Z
זיו צפת,81.3,62.2,2022-04-02T00:00:00.000Z
הדסה הר הצופים,86.1,75.3,2022-04-02T00:00:00.000Z
הלל יפה,87.7,77.3,2022-04-02T00:00:00.000Z
לניאדו,87.2,75.5,2022-04-02T00:00:00.000Z
וולפסון,89.8,70.3,2022-04-02T00:00:00.000Z
המרכזי בעמק,90.3,69.4,2022-04-02T00:00:00.000Z
שמיר,93.4,69,2022-04-02T00:00:00.000Z
יוספטל,93.8,49.2,2022-04-02T00:00:00.000Z
ברזילי,95.8,79.5,2022-04-02T00:00:00.000Z
פוריה,100,75.2,2022-04-02T00:00:00.000Z
בני ציון,100,78.8,2022-04-02T00:00:00.000Z
"רמב""ם",101.5,81.7,2022-04-02T00:00:00.000Z
קפלן,107.3,100.9,2022-04-02T00:00:00.000Z
רבין ק. בילינסון,108.8,87.2,2022-04-02T00:00:00.000Z
נהריה,117.4,87.7,2022-04-02T00:00:00.000Z
מ.גריאטרי פרדס חנה,,40.6,2022-04-02T00:00:00.000Z
הדסה עין כרם,118.4,86.2,2022-04-02T00:00:00.000Z
אסותא אשדוד,132.2,102,2022-04-02T00:00:00.000Z
