period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,8382,1297,15.47
3_Month,0-9,47736,15728,32.95
6_Month,0-9,234663,58229,24.81
1_Year,0-9,1290544,548822,42.53
All,0-9,1712342,766283,44.75
1_Month,10-19,12322,2030,16.47
3_Month,10-19,50897,13250,26.03
6_Month,10-19,251651,55723,22.14
1_Year,10-19,1208113,582675,48.23
All,10-19,1629558,807637,49.56
1_Month,20-29,16693,2035,12.19
3_Month,20-29,72670,20867,28.71
6_Month,20-29,331475,68235,20.59
1_Year,20-29,1083595,426525,39.36
All,20-29,1472139,602989,40.96
1_Month,30-39,17149,2781,16.22
3_Month,30-39,78336,25621,32.71
6_Month,30-39,330156,86940,26.33
1_Year,30-39,1047050,470454,44.93
All,30-39,1371659,611379,44.57
1_Month,40-49,18369,3180,17.31
3_Month,40-49,76076,25604,33.66
6_Month,40-49,317946,87924,27.65
1_Year,40-49,951082,439685,46.23
All,40-49,1218568,555186,45.56
1_Month,50-59,18083,3397,18.79
3_Month,50-59,72473,25157,34.71
6_Month,50-59,286657,82685,28.84
1_Year,50-59,748386,315813,42.2
All,50-59,953949,395383,41.45
1_Month,60-69,20045,4316,21.53
3_Month,60-69,80401,29319,36.47
6_Month,60-69,273078,90069,32.98
1_Year,60-69,627833,248173,39.53
All,60-69,787420,300379,38.15
1_Month,70-79,21278,5082,23.88
3_Month,70-79,77140,28304,36.69
6_Month,70-79,210342,80611,38.32
1_Year,70-79,412871,165008,39.97
All,70-79,512216,193058,37.69
1_Month,80-89,15530,2203,14.19
3_Month,80-89,45541,13609,29.88
6_Month,80-89,90509,34467,38.08
1_Year,80-89,160585,66390,41.34
All,80-89,218273,80934,37.08
1_Month,90+,5194,494,9.51
3_Month,90+,14056,3591,25.55
6_Month,90+,23411,8500,36.31
1_Year,90+,38148,16446,43.11
All,90+,56871,20995,36.92
