age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,146752,18262,1505185,9.7,1.2
20-29,377266,115349,1277634,29.5,9
30-39,445694,158400,1186386,37.6,13.4
40-49,617006,252309,1080768,57.1,23.3
50-59,567501,349904,832687,68.2,42
60-69,567284,489172,735380,77.1,66.5
70-79,433561,391838,462148,93.8,84.8
80-89,193495,172878,222547,86.9,77.7
90+,45477,39893,50589,89.9,78.9
