section,male,female,period
0-9,"{'amount': 7, 'percentage': 0.2}","{'amount': 9, 'percentage': 0.2}",מתחילת קורונה
0-9,"{'amount': 1, 'percentage': 0.1}","{'amount': 6, 'percentage': 0.5}",3 חודשים
0-9,"{'amount': 3, 'percentage': 0.1}","{'amount': 6, 'percentage': 0.3}",6 חודשים
0-9,"{'amount': 5, 'percentage': 0.1}","{'amount': 9, 'percentage': 0.3}",שנה
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.4}",חודש אחרון
10-19,"{'amount': 12, 'percentage': 0.3}","{'amount': 8, 'percentage': 0.2}",מתחילת קורונה
10-19,"{'amount': 11, 'percentage': 0.3}","{'amount': 6, 'percentage': 0.2}",שנה
10-19,"{'amount': 8, 'percentage': 0.4}","{'amount': 3, 'percentage': 0.1}",6 חודשים
10-19,"{'amount': 2, 'percentage': 0.2}","{'amount': 2, 'percentage': 0.2}",3 חודשים
10-19,"{'amount': 1, 'percentage': 0.4}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 31, 'percentage': 0.8}","{'amount': 36, 'percentage': 1}",מתחילת קורונה
20-29,"{'amount': 31, 'percentage': 0.9}","{'amount': 33, 'percentage': 0.9}",שנה
20-29,"{'amount': 23, 'percentage': 1}","{'amount': 22, 'percentage': 1}",6 חודשים
20-29,"{'amount': 3, 'percentage': 1.1}","{'amount': 3, 'percentage': 1.1}",חודש אחרון
20-29,"{'amount': 21, 'percentage': 1.8}","{'amount': 15, 'percentage': 1.3}",3 חודשים
30-39,"{'amount': 34, 'percentage': 1.5}","{'amount': 49, 'percentage': 2.2}",6 חודשים
30-39,"{'amount': 59, 'percentage': 1.6}","{'amount': 67, 'percentage': 1.8}",מתחילת קורונה
30-39,"{'amount': 4, 'percentage': 1.5}","{'amount': 14, 'percentage': 5.4}",חודש אחרון
30-39,"{'amount': 24, 'percentage': 2.1}","{'amount': 38, 'percentage': 3.3}",3 חודשים
30-39,"{'amount': 50, 'percentage': 1.4}","{'amount': 64, 'percentage': 1.8}",שנה
40-49,"{'amount': 108, 'percentage': 4.8}","{'amount': 56, 'percentage': 2.5}",6 חודשים
40-49,"{'amount': 160, 'percentage': 4.3}","{'amount': 82, 'percentage': 2.2}",מתחילת קורונה
40-49,"{'amount': 23, 'percentage': 8.8}","{'amount': 8, 'percentage': 3.1}",חודש אחרון
40-49,"{'amount': 73, 'percentage': 6.3}","{'amount': 36, 'percentage': 3.1}",3 חודשים
40-49,"{'amount': 152, 'percentage': 4.3}","{'amount': 77, 'percentage': 2.2}",שנה
50-59,"{'amount': 356, 'percentage': 9.6}","{'amount': 141, 'percentage': 3.8}",מתחילת קורונה
50-59,"{'amount': 44, 'percentage': 16.9}","{'amount': 23, 'percentage': 8.8}",חודש אחרון
50-59,"{'amount': 132, 'percentage': 11.3}","{'amount': 64, 'percentage': 5.5}",3 חודשים
50-59,"{'amount': 229, 'percentage': 10.2}","{'amount': 98, 'percentage': 4.4}",6 חודשים
50-59,"{'amount': 341, 'percentage': 9.7}","{'amount': 136, 'percentage': 3.9}",שנה
60-69,"{'amount': 31, 'percentage': 11.9}","{'amount': 28, 'percentage': 10.7}",חודש אחרון
60-69,"{'amount': 169, 'percentage': 14.5}","{'amount': 109, 'percentage': 9.3}",3 חודשים
60-69,"{'amount': 369, 'percentage': 16.5}","{'amount': 181, 'percentage': 8.1}",6 חודשים
60-69,"{'amount': 597, 'percentage': 17}","{'amount': 276, 'percentage': 7.9}",שנה
60-69,"{'amount': 630, 'percentage': 17}","{'amount': 286, 'percentage': 7.7}",מתחילת קורונה
70-79,"{'amount': 388, 'percentage': 17.4}","{'amount': 218, 'percentage': 9.8}",6 חודשים
70-79,"{'amount': 161, 'percentage': 13.8}","{'amount': 109, 'percentage': 9.3}",3 חודשים
70-79,"{'amount': 23, 'percentage': 8.8}","{'amount': 25, 'percentage': 9.6}",חודש אחרון
70-79,"{'amount': 676, 'percentage': 18.2}","{'amount': 339, 'percentage': 9.1}",מתחילת קורונה
70-79,"{'amount': 638, 'percentage': 18.2}","{'amount': 326, 'percentage': 9.3}",שנה
80-89,"{'amount': 390, 'percentage': 10.5}","{'amount': 270, 'percentage': 7.3}",מתחילת קורונה
80-89,"{'amount': 367, 'percentage': 10.5}","{'amount': 254, 'percentage': 7.2}",שנה
80-89,"{'amount': 96, 'percentage': 8.2}","{'amount': 81, 'percentage': 6.9}",3 חודשים
80-89,"{'amount': 19, 'percentage': 7.3}","{'amount': 7, 'percentage': 2.7}",חודש אחרון
80-89,"{'amount': 203, 'percentage': 9.1}","{'amount': 164, 'percentage': 7.3}",6 חודשים
90+,"{'amount': 70, 'percentage': 2}","{'amount': 65, 'percentage': 1.9}",שנה
90+,"{'amount': 2, 'percentage': 0.8}","{'amount': 2, 'percentage': 0.8}",חודש אחרון
90+,"{'amount': 14, 'percentage': 1.2}","{'amount': 13, 'percentage': 1.1}",3 חודשים
90+,"{'amount': 35, 'percentage': 1.6}","{'amount': 38, 'percentage': 1.7}",6 חודשים
90+,"{'amount': 78, 'percentage': 2.1}","{'amount': 73, 'percentage': 2}",מתחילת קורונה
