section,male,female,period,order_period
0-9,"{'amount': 6, 'percentage': 0.2}","{'amount': 8, 'percentage': 0.2}",שנה,2
0-9,"{'amount': 8, 'percentage': 0.2}","{'amount': 9, 'percentage': 0.2}",מתחילת קורונה,1
0-9,"{'amount': 1, 'percentage': 2.4}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
0-9,"{'amount': 1, 'percentage': 0.7}","{'amount': 0, 'percentage': 0}",3 חודשים,4
0-9,"{'amount': 3, 'percentage': 0.2}","{'amount': 6, 'percentage': 0.4}",6 חודשים,3
10-19,"{'amount': 2, 'percentage': 0.1}","{'amount': 3, 'percentage': 0.2}",6 חודשים,3
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
10-19,"{'amount': 12, 'percentage': 0.3}","{'amount': 8, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.7}",3 חודשים,4
10-19,"{'amount': 10, 'percentage': 0.3}","{'amount': 6, 'percentage': 0.2}",שנה,2
20-29,"{'amount': 1, 'percentage': 0.7}","{'amount': 0, 'percentage': 0}",3 חודשים,4
20-29,"{'amount': 1, 'percentage': 2.4}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
20-29,"{'amount': 28, 'percentage': 0.8}","{'amount': 32, 'percentage': 1}",שנה,2
20-29,"{'amount': 32, 'percentage': 0.9}","{'amount': 35, 'percentage': 0.9}",מתחילת קורונה,1
20-29,"{'amount': 22, 'percentage': 1.6}","{'amount': 16, 'percentage': 1.2}",6 חודשים,3
30-39,"{'amount': 58, 'percentage': 1.6}","{'amount': 66, 'percentage': 1.8}",מתחילת קורונה,1
30-39,"{'amount': 45, 'percentage': 1.3}","{'amount': 59, 'percentage': 1.8}",שנה,2
30-39,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
30-39,"{'amount': 2, 'percentage': 1.5}","{'amount': 6, 'percentage': 4.4}",3 חודשים,4
30-39,"{'amount': 25, 'percentage': 1.8}","{'amount': 41, 'percentage': 3}",6 חודשים,3
40-49,"{'amount': 80, 'percentage': 5.9}","{'amount': 41, 'percentage': 3}",6 חודשים,3
40-49,"{'amount': 18, 'percentage': 13.1}","{'amount': 2, 'percentage': 1.5}",3 חודשים,4
40-49,"{'amount': 6, 'percentage': 14.6}","{'amount': 1, 'percentage': 2.4}",חודש אחרון,5
40-49,"{'amount': 144, 'percentage': 4.3}","{'amount': 80, 'percentage': 2.4}",שנה,2
40-49,"{'amount': 160, 'percentage': 4.3}","{'amount': 85, 'percentage': 2.3}",מתחילת קורונה,1
50-59,"{'amount': 23, 'percentage': 16.8}","{'amount': 14, 'percentage': 10.2}",3 חודשים,4
50-59,"{'amount': 1, 'percentage': 2.4}","{'amount': 1, 'percentage': 2.4}",חודש אחרון,5
50-59,"{'amount': 318, 'percentage': 9.5}","{'amount': 138, 'percentage': 4.1}",שנה,2
50-59,"{'amount': 356, 'percentage': 9.5}","{'amount': 146, 'percentage': 3.9}",מתחילת קורונה,1
50-59,"{'amount': 154, 'percentage': 11.4}","{'amount': 71, 'percentage': 5.2}",6 חודשים,3
60-69,"{'amount': 197, 'percentage': 14.5}","{'amount': 124, 'percentage': 9.2}",6 חודשים,3
60-69,"{'amount': 14, 'percentage': 10.2}","{'amount': 13, 'percentage': 9.5}",3 חודשים,4
60-69,"{'amount': 5, 'percentage': 12.2}","{'amount': 6, 'percentage': 14.6}",חודש אחרון,5
60-69,"{'amount': 630, 'percentage': 16.9}","{'amount': 289, 'percentage': 7.7}",מתחילת קורונה,1
60-69,"{'amount': 566, 'percentage': 17}","{'amount': 272, 'percentage': 8.1}",שנה,2
70-79,"{'amount': 189, 'percentage': 13.9}","{'amount': 131, 'percentage': 9.7}",6 חודשים,3
70-79,"{'amount': 6, 'percentage': 14.6}","{'amount': 5, 'percentage': 12.2}",חודש אחרון,5
70-79,"{'amount': 680, 'percentage': 18.2}","{'amount': 346, 'percentage': 9.3}",מתחילת קורונה,1
70-79,"{'amount': 601, 'percentage': 18}","{'amount': 316, 'percentage': 9.5}",שנה,2
70-79,"{'amount': 12, 'percentage': 8.8}","{'amount': 11, 'percentage': 8}",3 חודשים,4
80-89,"{'amount': 392, 'percentage': 10.5}","{'amount': 271, 'percentage': 7.3}",מתחילת קורונה,1
80-89,"{'amount': 114, 'percentage': 8.4}","{'amount': 95, 'percentage': 7}",6 חודשים,3
80-89,"{'amount': 3, 'percentage': 7.3}","{'amount': 5, 'percentage': 12.2}",חודש אחרון,5
80-89,"{'amount': 8, 'percentage': 5.8}","{'amount': 9, 'percentage': 6.6}",3 חודשים,4
80-89,"{'amount': 345, 'percentage': 10.3}","{'amount': 238, 'percentage': 7.1}",שנה,2
90+,"{'amount': 80, 'percentage': 2.1}","{'amount': 72, 'percentage': 1.9}",מתחילת קורונה,1
90+,"{'amount': 18, 'percentage': 1.3}","{'amount': 23, 'percentage': 1.7}",6 חודשים,3
90+,"{'amount': 1, 'percentage': 0.7}","{'amount': 1, 'percentage': 0.7}",3 חודשים,4
90+,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
90+,"{'amount': 66, 'percentage': 2}","{'amount': 61, 'percentage': 1.8}",שנה,2
