age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,626041,469669,1538337,40.7,30.5
20-29,1024630,935636,1300361,78.8,72
30-39,994896,927221,1197026,83.1,77.5
40-49,947324,888900,1098556,86.2,80.9
50-59,761409,717471,849966,89.6,84.4
60-69,673489,644410,741639,90.8,86.9
70-79,468387,455368,490784,95.4,92.8
80-89,211850,205739,225538,93.9,91.2
90+,48037,46214,51496,93.3,89.7
