actualSick,city,sickCount,status,testLast7Days,verifiedLast7Days
516,ביתר עילית,833,"נדרשים הסברה, בדיקות ואכיפת בידוד",6923,317
2674,ירושלים,6749,נדרשת הגדלה של מספר הבדיקות,135673,1248
1594,תל אביב - יפו,2419,נדרשת הגדלה של מספר הבדיקות,71934,576
1391,בני ברק,4515,נדרשת הגדלה של מספר הבדיקות,48456,601
970,אשדוד,1347,נדרשת הגדלה של מספר הבדיקות,34014,317
380,בית שמש,944,נדרשת הגדלה של מספר הבדיקות,13275,202
357,לוד,471,נדרשת הגדלה של מספר הבדיקות,9868,204
229,קרית מלאכי,291,נדרשת הגדלה של מספר הבדיקות,3997,152
86,כסיפה,100,נדרשת הגדלה של מספר הבדיקות,1398,61
43,יבנאל,61,נדרשת הגדלה של מספר הבדיקות,547,28
41,קרית שמונה,57,נדרשת הגדלה של מספר הבדיקות,1845,35
38,קלנסווה,52,נדרשת הגדלה של מספר הבדיקות,2082,27
31,קרית יערים,74,נדרשת הגדלה של מספר הבדיקות,1165,17
24,חריש,37,נדרשת הגדלה של מספר הבדיקות,1335,19
23,"כפר חב""ד",67,נדרשת הגדלה של מספר הבדיקות,1267,19
15,בית אריה,28,נדרשת הגדלה של מספר הבדיקות,655, קטן מ-15 
 קטן מ-15 ,עמנואל,28,נדרשת הגדלה של מספר הבדיקות,292, קטן מ-15 
508,פתח תקווה,902,"נדרשת הידברות, הסברה ואכיפה",35211,242
480,בת ים,750,"נדרשת הידברות, הסברה ואכיפה",22235,124
394,ראשון לציון,696,"נדרשת הידברות, הסברה ואכיפה",31763,198
357,חולון,610,"נדרשת הידברות, הסברה ואכיפה",26626,140
325,נתניה,579,"נדרשת הידברות, הסברה ואכיפה",23818,149
293,מודיעין עילית,748,"נדרשת הידברות, הסברה ואכיפה",10890,136
287,באר שבע,568,"נדרשת הידברות, הסברה ואכיפה",32994,89
273,רמת גן,494,"נדרשת הידברות, הסברה ואכיפה",22541,133
270,רמלה,362,"נדרשת הידברות, הסברה ואכיפה",10223,117
266,רחובות,422,"נדרשת הידברות, הסברה ואכיפה",20192,142
233,רהט,378,"נדרשת הידברות, הסברה ואכיפה",7964,42
227,חיפה,471,"נדרשת הידברות, הסברה ואכיפה",30215,123
227,קרית גת,305,"נדרשת הידברות, הסברה ואכיפה",7675,89
209,דימונה,241,"נדרשת הידברות, הסברה ואכיפה",8377,63
205,רעננה,358,"נדרשת הידברות, הסברה ואכיפה",12382,116
201,טבריה,403,"נדרשת הידברות, הסברה ואכיפה",8893,47
183,אלעד,612,"נדרשת הידברות, הסברה ואכיפה",7969,71
180,הרצליה,319,"נדרשת הידברות, הסברה ואכיפה",13218,96
179,ערערה-בנגב,293,"נדרשת הידברות, הסברה ואכיפה",3902, קטן מ-15 
170,מודיעין-מכבים-רעות,299,"נדרשת הידברות, הסברה ואכיפה",11620,99
164,אור יהודה,325,"נדרשת הידברות, הסברה ואכיפה",6331,77
152,באקה אל-גרביה,196,"נדרשת הידברות, הסברה ואכיפה",4458,58
142,אשקלון,429,"נדרשת הידברות, הסברה ואכיפה",18169,94
135,כפר קאסם,156,"נדרשת הידברות, הסברה ואכיפה",3485,30
124,חדרה,200,"נדרשת הידברות, הסברה ואכיפה",16470,59
116,כפר סבא,195,"נדרשת הידברות, הסברה ואכיפה",13098,45
111,ראש העין,173,"נדרשת הידברות, הסברה ואכיפה",7522,56
102,יבנה,161,"נדרשת הידברות, הסברה ואכיפה",6328,51
100,גבעתיים,153,"נדרשת הידברות, הסברה ואכיפה",7640,47
89,בית שאן,99,"נדרשת הידברות, הסברה ואכיפה",2676,26
88,הוד השרון,139,"נדרשת הידברות, הסברה ואכיפה",7249,42
86,נהריה,134,"נדרשת הידברות, הסברה ואכיפה",9196,26
86,אילת,121,"נדרשת הידברות, הסברה ואכיפה",4731,40
83,רמת השרון,129,"נדרשת הידברות, הסברה ואכיפה",5524,47
82,כפר קרע,106,"נדרשת הידברות, הסברה ואכיפה",2427,50
78,קרית אונו,132,"נדרשת הידברות, הסברה ואכיפה",5010,30
78,טייבה,129,"נדרשת הידברות, הסברה ואכיפה",4364,46
77,קרית אתא,104,"נדרשת הידברות, הסברה ואכיפה",6404,56
72,נס ציונה,101,"נדרשת הידברות, הסברה ואכיפה",4849,48
71,נתיבות,182,"נדרשת הידברות, הסברה ואכיפה",4547,30
64,אום אל-פחם,158,"נדרשת הידברות, הסברה ואכיפה",4949,17
63,אופקים,116,"נדרשת הידברות, הסברה ואכיפה",4515,31
61,מעלה אדומים,117,"נדרשת הידברות, הסברה ואכיפה",6375,41
58,רכסים,111,"נדרשת הידברות, הסברה ואכיפה",1932,31
57,טירה,68,"נדרשת הידברות, הסברה ואכיפה",3294,19
53,באר יעקב,91,"נדרשת הידברות, הסברה ואכיפה",3131,34
52,פרדס חנה-כרכור,79,"נדרשת הידברות, הסברה ואכיפה",6690,27
48,ערד,71,"נדרשת הידברות, הסברה ואכיפה",2602,25
47,גני תקווה,97,"נדרשת הידברות, הסברה ואכיפה",3041,29
47,גדרה,104,"נדרשת הידברות, הסברה ואכיפה",5035,30
46,יהוד,129,"נדרשת הידברות, הסברה ואכיפה",3577,24
45,גן יבנה,75,"נדרשת הידברות, הסברה ואכיפה",2459,25
45,שוהם,85,"נדרשת הידברות, הסברה ואכיפה",3145,25
44,נצרת,69,"נדרשת הידברות, הסברה ואכיפה",3438,30
43,גבעת זאב,101,"נדרשת הידברות, הסברה ואכיפה",2790,23
42,ערערה,54,"נדרשת הידברות, הסברה ואכיפה",2317,26
42,עפולה,109,"נדרשת הידברות, הסברה ואכיפה",5351, קטן מ-15 
42,חורה,242,"נדרשת הידברות, הסברה ואכיפה",2358, קטן מ-15 
39,גבעת שמואל,87,"נדרשת הידברות, הסברה ואכיפה",3172,28
39,צפת,145,"נדרשת הידברות, הסברה ואכיפה",4133, קטן מ-15 
38,שדרות,100,"נדרשת הידברות, הסברה ואכיפה",4670, קטן מ-15 
31,עכו,63,"נדרשת הידברות, הסברה ואכיפה",5591, קטן מ-15 
30,ג'ת,62,"נדרשת הידברות, הסברה ואכיפה",1921, קטן מ-15 
29,מזכרת בתיה,46,"נדרשת הידברות, הסברה ואכיפה",2358, קטן מ-15 
29,ג'לג'וליה,42,"נדרשת הידברות, הסברה ואכיפה",1524, קטן מ-15 
28,טמרה,51,"נדרשת הידברות, הסברה ואכיפה",2665, קטן מ-15 
27,אור עקיבא,36,"נדרשת הידברות, הסברה ואכיפה",2200, קטן מ-15 
25,נחף,36,"נדרשת הידברות, הסברה ואכיפה",1127, קטן מ-15 
24,שפרעם,37,"נדרשת הידברות, הסברה ואכיפה",3123, קטן מ-15 
23,מבשרת ציון,45,"נדרשת הידברות, הסברה ואכיפה",4374, קטן מ-15 
23,אלפי מנשה,28,"נדרשת הידברות, הסברה ואכיפה",1124, קטן מ-15 
23,קדימה-צורן,41,"נדרשת הידברות, הסברה ואכיפה",1821, קטן מ-15 
22,כוכב יעקב,82,"נדרשת הידברות, הסברה ואכיפה",924, קטן מ-15 
21,אזור,57,"נדרשת הידברות, הסברה ואכיפה",1657, קטן מ-15 
20,תפרח,24,"נדרשת הידברות, הסברה ואכיפה",290, קטן מ-15 
20,סביון,24,"נדרשת הידברות, הסברה ואכיפה",818, קטן מ-15 
20,אריאל,36,"נדרשת הידברות, הסברה ואכיפה",2077, קטן מ-15 
20,ג'סר א-זרקא,63,"נדרשת הידברות, הסברה ואכיפה",3381, קטן מ-15 
18,קרית מוצקין,38,"נדרשת הידברות, הסברה ואכיפה",5310, קטן מ-15 
17,כפר יונה,33,"נדרשת הידברות, הסברה ואכיפה",1934, קטן מ-15 
17,טירת כרמל,35,"נדרשת הידברות, הסברה ואכיפה",1850, קטן מ-15 
17,לקיה,31,"נדרשת הידברות, הסברה ואכיפה",1231, קטן מ-15 
