coronaOccupancy,isolatedTeam,name,normalOccupancy
128,132,הדסה עין כרם,105.6680145263672
104,79,שמיר (אסף הרופא),61.39169311523438
96,79,שערי צדק,92.50614166259766
88,82,סוראסקי,98.88983917236328
86,107,שיבא,89.0506362915039
80,70,הלל יפה,78.64077758789062
52,60,מאיר,74.67866516113281
50,21,"רמב""ם",88.24742126464844
50,48,קפלן,110.1083068847656
40,35,"אסותא אשדוד בי""ח",
40,29,ברזילי,68
38,40,מעייני הישועה,
36,24,וולפסון,65.00732421875
34,77,סורוקה,69.85230255126953
32,68,רבין ק. בילינסון,82.51496887207031
30,45,המרכזי בעמק,74.82758331298828
24,24,לניאדו,1.392757654190064
10,26,נהריה,82.57261657714844
4,47,שניידר,97.04641723632812
2,7,זיו צפת,80.97982788085938
2,19,בני ציון,64.4341812133789
2,24,השרון ק. גולדה,50.20746994018555
0,13,הסקוטי,99.24812316894531
0,1,יוספטל,50.76922988891602
0,0,אלישע,
0,8,הכרמל,68.30265808105469
0,0,אל מקאסד,
0,2,המשפחה הקדושה,158.3333282470703
0,0,הסהר האדום,
0,41,הר הצופים,74.30555725097656
0,5,הצרפתי,73.88059997558594
0,1,אסותא חיפה,
0,19,אסותא רמת החייל,
0,10,אסותא ראשון לציון,
0,1,אסותא באר שבע,
0,14,פוריה,58.59154891967773
