instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,50,54.8,2022-03-24T00:00:00.000Z
סורוקה,62.4,72.9,2022-03-24T00:00:00.000Z
איכילוב,74.7,110.5,2022-03-24T00:00:00.000Z
הכרמל,75.5,75.1,2022-03-24T00:00:00.000Z
וולפסון,80.7,77.9,2022-03-24T00:00:00.000Z
פוריה,82.1,73.8,2022-03-24T00:00:00.000Z
שמיר,85.3,72.2,2022-03-24T00:00:00.000Z
המרכזי בעמק,86.5,71.3,2022-03-24T00:00:00.000Z
הדסה הר הצופים,91.7,89.2,2022-03-24T00:00:00.000Z
זיו צפת,93.8,82.1,2022-03-24T00:00:00.000Z
ברזילי,93.8,83.6,2022-03-24T00:00:00.000Z
בני ציון,93.4,89.4,2022-03-24T00:00:00.000Z
יוספטל,93.8,64.6,2022-03-24T00:00:00.000Z
לניאדו,97.4,87.7,2022-03-24T00:00:00.000Z
"רמב""ם",98.5,91.3,2022-03-24T00:00:00.000Z
הלל יפה,98.6,87,2022-03-24T00:00:00.000Z
שיבא,101.7,108.8,2022-03-24T00:00:00.000Z
רבין ק. בילינסון,116.7,99.4,2022-03-24T00:00:00.000Z
נהריה,120,96.4,2022-03-24T00:00:00.000Z
הדסה עין כרם,128.2,104,2022-03-24T00:00:00.000Z
אסותא אשדוד,139,118.4,2022-03-24T00:00:00.000Z
