period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,54423,27750,50.99
3_Month,0-9,189598,44554,23.5
6_Month,0-9,937242,425540,45.4
1_Year,0-9,1485943,649833,43.73
All,0-9,1706986,758993,44.46
1_Month,10-19,52107,25036,48.05
3_Month,10-19,198762,44176,22.23
6_Month,10-19,829310,415430,50.09
1_Year,10-19,1382123,654591,47.36
All,10-19,1625461,801327,49.3
1_Month,20-29,68547,31780,46.36
3_Month,20-29,265159,50973,19.22
6_Month,20-29,789696,305378,38.67
1_Year,20-29,1219594,471688,38.68
All,20-29,1464147,592187,40.45
1_Month,30-39,81740,39767,48.65
3_Month,30-39,264170,64659,24.48
6_Month,30-39,797203,358895,45.02
1_Year,30-39,1162636,513109,44.13
All,30-39,1364100,598123,43.85
1_Month,40-49,81776,39847,48.73
3_Month,40-49,254621,65671,25.79
6_Month,40-49,735931,335650,45.61
1_Year,40-49,1042897,468006,44.88
All,40-49,1211589,541353,44.68
1_Month,50-59,74402,37057,49.81
3_Month,50-59,229885,61103,26.58
6_Month,50-59,586614,243890,41.58
1_Year,50-59,811667,324472,39.98
All,50-59,946438,380384,40.19
1_Month,60-69,78909,39745,50.37
3_Month,60-69,217346,65276,30.03
6_Month,60-69,495651,189008,38.13
1_Year,60-69,672867,243813,36.23
All,60-69,778729,281545,36.15
1_Month,70-79,71189,34558,48.54
3_Month,70-79,163287,56771,34.77
6_Month,70-79,327208,124198,37.96
1_Year,70-79,434281,153233,35.28
All,70-79,501351,173453,34.6
1_Month,80-89,40759,15004,36.81
3_Month,80-89,69466,23158,33.34
6_Month,80-89,125397,49581,39.54
1_Year,80-89,168995,60852,36.01
All,80-89,211732,71646,33.84
1_Month,90+,12558,3683,29.33
3_Month,90+,18374,5477,29.81
6_Month,90+,29764,12232,41.1
1_Year,90+,40114,15079,37.59
All,90+,54842,18663,34.03
