cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
Abu Ghosh,קטן מ-15,אין מידע,76,96.67,7.92,אדום,7862
Abu Juwei'id,קטן מ-15,אין מידע,57,122.61,9.31,אדום,4649
Abu Sinan,קטן מ-15,אין מידע,186,130.02,9.14,אדום,14306
Afula,71,10.11,702,123.50,10,אדום,56844
Ahuzzat Baraq,קטן מ-15,אין מידע,32,133.44,10,אדום,2398
Akko,46,11.14,413,83.41,9.45,אדום,49517
Alfe Menashe,קטן מ-15,אין מידע,62,77.39,10,אדום,8011
Ar'ara,קטן מ-15,אין מידע,70,27.42,8.84,אדום,25525
Arad,21,10.50,200,73.61,10,אדום,27170
Ari'el,16,11.35,141,68.82,9.97,אדום,20488
Arrabe,קטן מ-15,אין מידע,74,28.16,8.91,אדום,26274
Ashdod,219,12.95,1691,74.71,9.77,אדום,226329
Ashqelon,279,15.53,1797,122.71,9.99,אדום,146442
Atlit,קטן מ-15,אין מידע,62,63.81,9.56,אדום,9716
Azor,15,11.90,126,95.25,9.48,אדום,13228
Baqa Al-Gharbiyye,22,15.17,145,47.62,9.7,אדום,30448
Basma,קטן מ-15,אין מידע,61,59.50,8.34,אדום,10252
Basmat Tab'un,קטן מ-15,אין מידע,32,40.00,6.26,כתום,8001
Bat Hefer,קטן מ-15,אין מידע,39,73.89,9.75,אדום,5278
Bat Yam,95,7.81,1216,95.17,9.98,אדום,127772
Be'er Sheva,320,12.77,2506,118.98,9.92,אדום,210624
Be'er Ya'aqov,36,23.53,153,53.09,9.9,אדום,28818
Beit Jann,קטן מ-15,אין מידע,42,34.51,9.54,אדום,12169
Bene Ayish,קטן מ-15,אין מידע,52,75.34,9.54,אדום,6902
Bene Beraq,57,11.20,509,24.47,8.19,אדום,208031
Bet Arye,קטן מ-15,אין מידע,30,56.16,9.44,אדום,5342
Bet Dagan,קטן מ-15,אין מידע,35,47.96,8.49,אדום,7298
Bet She'an,21,7.14,294,154.90,9.86,אדום,18980
Bet Shemesh,35,13.94,251,18.98,8.75,אדום,132210
Bet Yizhaq-Sh. Hefer,קטן מ-15,אין מידע,40,186.57,8.85,אדום,2144
Betar Illit,קטן מ-15,אין מידע,33,5.38,7.32,כתום,61297
Bi'ne,קטן מ-15,אין מידע,33,39.19,7.09,כתום,8421
Binyamina-Giv'at Ada,קטן מ-15,אין מידע,101,63.24,10,אדום,15971
Bir El-Maksur,קטן מ-15,אין מידע,27,27.75,8.1,אדום,9729
Bu'eine-Nujeidat,קטן מ-15,אין מידע,18,17.98,8.93,אדום,10011
Buq'ata,קטן מ-15,אין מידע,16,23.96,7.35,כתום,6677
Daburiyya,קטן מ-15,אין מידע,46,43.06,7.63,אדום,10682
Daliyat Al-Karmel,קטן מ-15,אין מידע,80,44.79,9.48,אדום,17862
Deir Al-Asad,קטן מ-15,אין מידע,44,34.62,9.76,אדום,12710
Deir Hanna,קטן מ-15,אין מידע,90,86.05,10,אדום,10459
Dimona,36,11.46,314,89.83,8.74,אדום,34954
Efrat,קטן מ-15,אין מידע,36,31.52,10,אדום,11420
Eilabun,קטן מ-15,אין מידע,44,76.11,9.53,אדום,5781
Ein Mahel,קטן מ-15,אין מידע,23,16.98,7.48,כתום,13545
El'ad,16,21.62,74,15.05,8.38,אדום,49179
Elat,53,16.36,324,61.71,9.98,אדום,52507
Elqana,קטן מ-15,אין מידע,37,93.46,10,אדום,3959
Elyakhin,קטן מ-15,אין מידע,33,95.21,10,אדום,3466
Even Yehuda,16,10.53,152,108.29,8.19,אדום,14036
Fureidis,קטן מ-15,אין מידע,36,26.79,9.56,אדום,13439
Gan Ner,קטן מ-15,אין מידע,36,133.33,10,אדום,2700
Gan Yavne,48,24.00,200,83.73,10,אדום,23887
Ganne Tiqwa,30,13.95,215,99.96,9.71,אדום,21508
Gedera,41,14.44,284,98.59,9.71,אדום,28805
Geva Binyamin,קטן מ-15,אין מידע,24,41.69,9.98,אדום,5757
Giv'at Avni,קטן מ-15,אין מידע,33,158.65,10,אדום,2080
Giv'at Brenner,קטן מ-15,אין מידע,24,90.06,9.94,אדום,2665
Giv'at Shemu'el,39,18.06,216,79.31,9.86,אדום,27236
Giv'at Ze'ev,קטן מ-15,אין מידע,38,19.79,8.82,אדום,19205
Giv'atayim,66,12.69,520,85.43,9.87,אדום,60872
Hadera,104,11.13,934,94.41,9.92,אדום,98928
Haifa,266,9.03,2947,103.41,9.81,אדום,284981
Har Adar,קטן מ-15,אין מידע,34,82.99,10,אדום,4097
Harish,17,17.53,97,49.47,9.64,אדום,19608
Hashmona'im,קטן מ-15,אין מידע,21,78.56,10,אדום,2673
Hazor Hagelilit,קטן מ-15,אין מידע,72,75.49,9.31,אדום,9538
Herzliyya,165,15.35,1075,108.36,9.89,אדום,99208
Hod Hasharon,74,11.86,624,96.36,9.96,אדום,64755
Holon,163,10.40,1568,79.79,9.96,אדום,196510
Hura,קטן מ-15,אין מידע,43,18.65,7.71,אדום,23062
Hurfeish,קטן מ-15,אין מידע,37,57.01,10,אדום,6490
I'billin,קטן מ-15,אין מידע,91,67.33,10,אדום,13515
Iksal,קטן מ-15,אין מידע,41,27.26,8,אדום,15039
Isifya,קטן מ-15,אין מידע,54,42.80,9.43,אדום,12617
Jaljulye,קטן מ-15,אין מידע,45,43.71,9.48,אדום,10295
Jatt,קטן מ-15,אין מידע,50,40.81,10,אדום,12252
Jerusalem,315,10.27,3068,32.20,8.11,אדום,952916
Jish(Gush Halav),קטן מ-15,אין מידע,16,51.28,9.71,אדום,3120
Jisr Az-Zarqa,קטן מ-15,אין מידע,59,39.04,7.77,אדום,15113
Judeide-Maker,15,15.31,98,45.94,9.2,אדום,21331
Julis,קטן מ-15,אין מידע,56,85.56,10,אדום,6545
Ka'abiyye-Tabbash-Hajajre,קטן מ-15,אין מידע,27,48.14,8.94,אדום,5609
Kabul,קטן מ-15,אין מידע,51,35.83,9.42,אדום,14234
Kafar Bara,קטן מ-15,אין מידע,16,42.51,6.42,כתום,3764
Kafar Kama,קטן מ-15,אין מידע,19,55.95,10,אדום,3396
Kafar Kanna,קטן מ-15,אין מידע,54,23.22,5.77,צהוב,23251
Kafar Manda,19,42.22,45,21.83,6.92,כתום,20610
Kafar Qara,16,22.54,71,36.73,9.44,אדום,19330
Kafar Qasem,קטן מ-15,אין מידע,64,26.41,7.59,אדום,24236
Kafar Yasif,21,28.00,75,73.18,7.61,אדום,10249
Kaokab Abu Al-Hija,קטן מ-15,אין מידע,21,57.42,9.04,אדום,3657
Karmi'el,60,13.19,455,98.51,10,אדום,46190
Kefar Adummim,קטן מ-15,אין מידע,17,35.95,10,אדום,4729
Kefar Habad,קטן מ-15,אין מידע,23,34.15,7.92,אדום,6735
Kefar Sava,151,11.67,1294,127.28,9.75,אדום,101664
Kefar Tavor,קטן מ-15,אין מידע,40,90.89,9.84,אדום,4401
Kefar Weradim,קטן מ-15,אין מידע,50,90.99,10,אדום,5495
Kefar Yona,33,17.93,184,70.39,9.23,אדום,26140
Kisra-Sumei,קטן מ-15,אין מידע,34,37.87,9.97,אדום,8978
Kokhav Ya'ir,קטן מ-15,אין מידע,105,120.16,10,אדום,8738
Kuseife,קטן מ-15,אין מידע,25,11.15,4.17,ירוק,22418
Laqye,קטן מ-15,אין מידע,25,17.10,5.64,צהוב,14616
Lehavim,קטן מ-15,אין מידע,58,87.34,9.8,אדום,6641
Lod,86,16.20,531,65.73,9.25,אדום,80786
Ma'ale Adummim,29,16.29,178,47.09,9.98,אדום,37802
Ma'ale Iron,קטן מ-15,אין מידע,37,24.10,7.13,כתום,15351
Ma'alot-Tarshiha,33,16.75,197,88.91,9.76,אדום,22158
Majd Al-Kurum,קטן מ-15,אין מידע,45,28.85,8.9,אדום,15599
Majdal Shams,קטן מ-15,אין מידע,76,67.59,10,אדום,11244
Mattan,קטן מ-15,אין מידע,23,63.36,9.74,אדום,3630
Mazkeret Batya,27,23.48,115,76.18,10,אדום,15095
Meshhed,קטן מ-15,אין מידע,29,34.23,10,אדום,8473
Metar,15,16.30,92,92.34,10,אדום,9963
Mevasseret Ziyyon,22,10.84,203,83.38,9.92,אדום,24347
