period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,10875,951,8.74
3_Month,0-9,20802,2879,13.84
6_Month,0-9,69927,21543,30.81
1_Year,0-9,1152760,516703,44.82
All,0-9,1716831,768086,44.74
1_Month,10-19,13016,2609,20.04
3_Month,10-19,28714,7477,26.04
6_Month,10-19,78267,22644,28.93
1_Year,10-19,1044527,540770,51.77
All,10-19,1632532,811364,49.7
1_Month,20-29,19353,4372,22.59
3_Month,20-29,42824,11295,26.38
6_Month,20-29,111518,35096,31.47
1_Year,20-29,940506,404274,42.98
All,20-29,1479468,609784,41.22
1_Month,30-39,18120,4458,24.6
3_Month,30-39,41171,12066,29.31
6_Month,30-39,115190,41198,35.77
1_Year,30-39,928806,453577,48.83
All,30-39,1376556,618327,44.92
1_Month,40-49,18528,4908,26.49
3_Month,40-49,42668,13512,31.67
6_Month,40-49,112818,42550,37.72
1_Year,40-49,851950,425936,50
All,40-49,1223311,562758,46
1_Month,50-59,19006,4925,25.91
3_Month,50-59,43793,14009,31.99
6_Month,50-59,108306,42299,39.06
1_Year,50-59,674009,313123,46.46
All,50-59,959031,404492,42.18
1_Month,60-69,21262,5273,24.8
3_Month,60-69,49652,15572,31.36
6_Month,60-69,119574,48125,40.25
1_Year,60-69,574927,252136,43.86
All,60-69,793506,311892,39.31
1_Month,70-79,23420,5138,21.94
3_Month,70-79,51769,15400,29.75
6_Month,70-79,114327,46277,40.48
1_Year,70-79,387333,173654,44.83
All,70-79,520142,205589,39.53
1_Month,80-89,20277,3029,14.94
3_Month,80-89,36831,8339,22.64
6_Month,80-89,65498,23144,35.34
1_Year,80-89,153978,72054,46.79
All,80-89,223487,87812,39.29
1_Month,90+,7413,931,12.56
3_Month,90+,12614,2419,19.18
6_Month,90+,19911,6318,31.73
1_Year,90+,37462,18137,48.41
All,90+,59056,22940,38.84
