name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,99.11392211914062,34
יוספטל,,50.76922988891602,16
שמיר,,72.7272720336914,29
וולפסון,,71.4494857788086,13
זיו צפת,,78.67435455322266,12
הלל יפה,,92.6213607788086,20
נהריה,,75.1037368774414,19
ברזילי,,82.61589050292969,24
פוריה,,67.32394409179688,3
סוראסקי,,114.1759185791016,44
בני ציון,,85.21939849853516,6
רבין ק. בילינסון,,85.62874603271484,39
סורוקה,,75.6686782836914,19
מאיר,,70.95115661621094,17
קפלן,,79.06137084960938,36
"רמב""ם",,90.88114929199219,16
הכרמל,,87.73006439208984,6
השרון ק. גולדה,,63.07053756713867,7
הדסה עין כרם,,,54
הסקוטי,,30.82706832885742,1
המשפחה הקדושה,,,0
סנט ג'וזף,,,1
שערי צדק,,102.4570007324219,17
אל מקאסד,,,0
לניאדו,,89.9721450805664,20
אוגוסטה ויקטוריה,,,1
מעייני הישועה,,95.56961822509766,10
אסותא אשדוד,,,6
שניידר,,,0
סנט וינסנט,,,0
המרכזי בעמק,,73.44827270507812,39
