name,value
פראמדיקים,34
פסיכולוגיה,45
קלינאות תקשורת,60
ריפוי בעיסוק,62
פיזיותרפיה,83
שירות סוציאלי,97
מעבדה,103
מערך לוגיסטי,190
רוקחות,191
כוח עזר,243
חובשי רפואת חירום,339
מינהל ומשק,1265
סקטורים אחרים,2746
