period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,46537,5813,12.49
3_Month,0-9,240840,52957,21.99
6_Month,0-9,1203870,502851,41.77
1_Year,0-9,1489772,628405,42.18
All,0-9,1700465,736381,43.3
1_Month,10-19,50090,7819,15.61
3_Month,10-19,262388,52192,19.89
6_Month,10-19,1126286,541739,48.1
1_Year,10-19,1389627,633938,45.62
All,10-19,1620445,779529,48.11
1_Month,20-29,75586,8096,10.71
3_Month,20-29,359377,59382,16.52
6_Month,20-29,969007,378712,39.08
1_Year,20-29,1223955,441704,36.09
All,20-29,1454980,563402,38.72
1_Month,30-39,78317,10062,12.85
3_Month,30-39,348080,70184,20.16
6_Month,30-39,944056,411043,43.54
1_Year,30-39,1166584,475710,40.78
All,30-39,1355195,561944,41.47
1_Month,40-49,77880,10810,13.88
3_Month,40-49,333975,68131,20.4
6_Month,40-49,862231,379755,44.04
1_Year,40-49,1045166,429573,41.1
All,40-49,1202353,503726,41.9
1_Month,50-59,73940,10356,14.01
3_Month,50-59,297652,56380,18.94
6_Month,50-59,665924,257637,38.69
1_Year,50-59,809577,285729,35.29
All,50-59,936430,342821,36.61
1_Month,60-69,71586,11162,15.59
3_Month,60-69,265647,51085,19.23
6_Month,60-69,550112,183262,33.31
1_Year,60-69,666402,201072,30.17
All,60-69,766750,239418,31.23
1_Month,70-79,53964,10182,18.87
3_Month,70-79,181047,37489,20.71
6_Month,70-79,347429,105284,30.3
1_Year,70-79,421871,115004,27.26
All,70-79,486562,135398,27.83
1_Month,80-89,25517,3512,13.76
3_Month,80-89,69009,13566,19.66
6_Month,80-89,129626,39976,30.84
1_Year,80-89,161837,44604,27.56
All,80-89,203842,55593,27.27
1_Month,90+,7692,716,9.31
3_Month,90+,17102,3018,17.65
6_Month,90+,30245,10002,33.07
1_Year,90+,38262,11215,29.31
All,90+,52604,14877,28.28
