cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
ABU GHOSH,קטן מ-15,אין מידע,32,40.70,5.54,צהוב,7862
ABU SINAN,18,25.35,71,49.63,7.99,אדום,14306
AFULA,24,14.63,164,28.85,9.44,אדום,56844
AKKO,29,19.59,148,29.89,9.71,אדום,49517
ALFE MENASHE,קטן מ-15,אין מידע,24,29.96,9.79,אדום,8011
ARAD,קטן מ-15,אין מידע,60,22.08,8.14,אדום,27170
ARI'EL,קטן מ-15,אין מידע,65,31.73,9.19,אדום,20488
ARRABE,קטן מ-15,אין מידע,20,7.61,6,כתום,26274
ASHDOD,103,14.51,710,31.37,9.33,אדום,226329
ASHQELON,84,18.67,450,30.73,9.42,אדום,146442
ATLIT,קטן מ-15,אין מידע,35,36.02,9.58,אדום,9716
AZOR,קטן מ-15,אין מידע,61,46.11,8.36,אדום,13228
BAQA AL-GHARBIYYE,קטן מ-15,אין מידע,22,7.23,4.74,צהוב,30448
BAT HEFER,קטן מ-15,אין מידע,26,49.26,9.28,אדום,5278
BAT YAM,45,9.98,451,35.30,8.5,אדום,127772
BE'ER SHEVA,148,17.03,869,41.26,8.5,אדום,210624
BE'ER YA'AQOV,26,29.21,89,30.88,9.05,אדום,28818
BENE AYISH,קטן מ-15,אין מידע,20,28.98,9.12,אדום,6902
BENE BERAQ,קטן מ-15,אין מידע,117,5.62,5.52,צהוב,208031
BET DAGAN,קטן מ-15,אין מידע,35,47.96,9.94,אדום,7298
BET HASHMONAY,קטן מ-15,אין מידע,20,91.37,7.35,כתום,2189
BET SHE'AN,קטן מ-15,אין מידע,48,25.29,7.49,כתום,18980
BET SHEMESH,16,15.24,105,7.94,6.86,כתום,132210
BINYAMINA-GIV'AT ADA,קטן מ-15,אין מידע,54,33.81,9.13,אדום,15971
DEIR HANNA,קטן מ-15,אין מידע,18,17.21,6.49,כתום,10459
DIMONA,21,18.92,111,31.76,7.89,אדום,34954
EFRAT,קטן מ-15,אין מידע,39,34.15,9.42,אדום,11420
EILABUN,קטן מ-15,אין מידע,79,136.65,9,אדום,5781
ELAT,27,20.93,129,24.57,9.23,אדום,52507
ELQANA,קטן מ-15,אין מידע,23,58.10,7.71,אדום,3959
EVEN YEHUDA,קטן מ-15,אין מידע,71,50.58,8.29,אדום,14036
GAN YAVNE,18,22.78,79,33.07,10,אדום,23887
GANNE TIQWA,28,18.79,149,69.28,9.81,אדום,21508
GEDERA,30,29.70,101,35.06,9.42,אדום,28805
GIV'AT AVNI,קטן מ-15,אין מידע,22,105.77,10,אדום,2080
GIV'AT SHEMU'EL,23,12.64,182,66.82,9.81,אדום,27236
GIV'AT ZE'EV,קטן מ-15,אין מידע,34,17.70,6.98,כתום,19205
GIV'ATAYIM,25,11.01,227,37.29,8.74,אדום,60872
HADERA,49,13.84,354,35.78,8.82,אדום,98928
HAIFA,112,9.29,1206,42.32,9.03,אדום,284981
HAR ADAR,קטן מ-15,אין מידע,20,48.82,9.99,אדום,4097
HARISH,קטן מ-15,אין מידע,58,29.58,9.4,אדום,19608
HASHMONA'IM,קטן מ-15,אין מידע,25,93.53,9.64,אדום,2673
HAZOR HAGELILIT,קטן מ-15,אין מידע,27,28.31,9.63,אדום,9538
HERZLIYYA,81,13.94,581,58.56,9.6,אדום,99208
HOD HASHARON,46,14.24,323,49.88,8.82,אדום,64755
HOLON,125,15.41,811,41.27,9.29,אדום,196510
I'BILLIN,קטן מ-15,אין מידע,42,31.08,10,אדום,13515
JALJULYE,קטן מ-15,אין מידע,19,18.46,7.33,כתום,10295
JERUSALEM,171,10.29,1662,17.44,7.34,כתום,952916
JUDEIDE-MAKER,קטן מ-15,אין מידע,38,17.81,7.69,אדום,21331
KAFAR QASEM,קטן מ-15,אין מידע,18,7.43,4.68,צהוב,24236
KAFAR YASIF,קטן מ-15,אין מידע,31,30.25,6.72,כתום,10249
KARMI'EL,15,8.11,185,40.05,8.97,אדום,46190
KEFAR SAVA,82,12.06,680,66.89,8.91,אדום,101664
KEFAR TAVOR,קטן מ-15,אין מידע,24,54.53,9.9,אדום,4401
KEFAR WERADIM,קטן מ-15,אין מידע,17,30.94,8.36,אדום,5495
KEFAR YONA,15,17.24,87,33.28,9.69,אדום,26140
KOKHAV YA'IR,קטן מ-15,אין מידע,67,76.68,9.95,אדום,8738
LEHAVIM,קטן מ-15,אין מידע,53,79.81,9.95,אדום,6641
LOD,26,16.88,154,19.06,5.75,צהוב,80786
MA'ALE ADUMMIM,22,15.38,143,37.83,9.89,אדום,37802
MA'ALOT-TARSHIHA,קטן מ-15,אין מידע,57,25.72,8.59,אדום,22158
MATTAN,קטן מ-15,אין מידע,16,44.08,7.63,אדום,3630
