age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
10-19,659710,556366,1538337,42.9,36.2,25,0
20-29,1030163,940255,1300361,79.2,72.3,170,0
30-39,999004,931189,1197026,83.5,77.8,403,0
40-49,950227,891409,1098556,86.5,81.1,1022,0.1
50-59,763201,719172,849966,89.8,84.6,2204,0.3
60-69,674758,646299,741639,91,87.1,184255,24.8
70-79,469236,456619,490784,95.6,93,185191,37.7
80-89,212354,206352,225538,94.2,91.5,75826,33.6
90+,48213,46435,51496,93.6,90.2,15709,30.5
