section,male,female,period
0-9,"{'amount': 2, 'percentage': 0.7}","{'amount': 1, 'percentage': 0.4}",3 חודשים
0-9,"{'amount': 34, 'percentage': 0.5}","{'amount': 17, 'percentage': 0.3}",מתחילת קורונה
0-9,"{'amount': 5, 'percentage': 0.8}","{'amount': 1, 'percentage': 0.2}",6 חודשים
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
0-9,"{'amount': 21, 'percentage': 1.1}","{'amount': 10, 'percentage': 0.5}",שנה
10-19,"{'amount': 1, 'percentage': 0.4}","{'amount': 0, 'percentage': 0}",3 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 25, 'percentage': 0.4}","{'amount': 23, 'percentage': 0.4}",מתחילת קורונה
10-19,"{'amount': 11, 'percentage': 0.6}","{'amount': 10, 'percentage': 0.5}",שנה
10-19,"{'amount': 1, 'percentage': 0.2}","{'amount': 2, 'percentage': 0.3}",6 חודשים
20-29,"{'amount': 4, 'percentage': 0.7}","{'amount': 7, 'percentage': 1.2}",6 חודשים
20-29,"{'amount': 2, 'percentage': 0.7}","{'amount': 3, 'percentage': 1.1}",3 חודשים
20-29,"{'amount': 1, 'percentage': 1.4}","{'amount': 1, 'percentage': 1.4}",חודש אחרון
20-29,"{'amount': 58, 'percentage': 0.9}","{'amount': 63, 'percentage': 1}",מתחילת קורונה
20-29,"{'amount': 16, 'percentage': 0.8}","{'amount': 20, 'percentage': 1}",שנה
30-39,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
30-39,"{'amount': 106, 'percentage': 1.6}","{'amount': 113, 'percentage': 1.7}",מתחילת קורונה
30-39,"{'amount': 1, 'percentage': 0.4}","{'amount': 5, 'percentage': 1.9}",3 חודשים
30-39,"{'amount': 5, 'percentage': 0.8}","{'amount': 11, 'percentage': 1.8}",6 חודשים
30-39,"{'amount': 36, 'percentage': 1.8}","{'amount': 28, 'percentage': 1.4}",שנה
40-49,"{'amount': 271, 'percentage': 4.1}","{'amount': 144, 'percentage': 2.2}",מתחילת קורונה
40-49,"{'amount': 12, 'percentage': 2}","{'amount': 10, 'percentage': 1.6}",6 חודשים
40-49,"{'amount': 4, 'percentage': 1.5}","{'amount': 3, 'percentage': 1.1}",3 חודשים
40-49,"{'amount': 1, 'percentage': 1.4}","{'amount': 2, 'percentage': 2.9}",חודש אחרון
40-49,"{'amount': 68, 'percentage': 3.4}","{'amount': 33, 'percentage': 1.7}",שנה
50-59,"{'amount': 142, 'percentage': 7.1}","{'amount': 80, 'percentage': 4}",שנה
50-59,"{'amount': 4, 'percentage': 5.8}","{'amount': 4, 'percentage': 5.8}",חודש אחרון
50-59,"{'amount': 567, 'percentage': 8.7}","{'amount': 273, 'percentage': 4.2}",מתחילת קורונה
50-59,"{'amount': 16, 'percentage': 5.9}","{'amount': 13, 'percentage': 4.8}",3 חודשים
50-59,"{'amount': 32, 'percentage': 5.3}","{'amount': 20, 'percentage': 3.3}",6 חודשים
60-69,"{'amount': 999, 'percentage': 15.3}","{'amount': 534, 'percentage': 8.2}",מתחילת קורונה
60-69,"{'amount': 37, 'percentage': 13.7}","{'amount': 19, 'percentage': 7}",3 חודשים
60-69,"{'amount': 11, 'percentage': 15.9}","{'amount': 8, 'percentage': 11.6}",חודש אחרון
60-69,"{'amount': 87, 'percentage': 14.3}","{'amount': 42, 'percentage': 6.9}",6 חודשים
60-69,"{'amount': 252, 'percentage': 12.6}","{'amount': 141, 'percentage': 7.1}",שנה
70-79,"{'amount': 1115, 'percentage': 17}","{'amount': 633, 'percentage': 9.7}",מתחילת קורונה
70-79,"{'amount': 327, 'percentage': 16.4}","{'amount': 207, 'percentage': 10.4}",שנה
70-79,"{'amount': 44, 'percentage': 16.3}","{'amount': 28, 'percentage': 10.4}",3 חודשים
70-79,"{'amount': 13, 'percentage': 18.8}","{'amount': 4, 'percentage': 5.8}",חודש אחרון
70-79,"{'amount': 116, 'percentage': 19.1}","{'amount': 60, 'percentage': 9.9}",6 חודשים
80-89,"{'amount': 39, 'percentage': 14.4}","{'amount': 34, 'percentage': 12.6}",3 חודשים
80-89,"{'amount': 709, 'percentage': 10.8}","{'amount': 532, 'percentage': 8.1}",מתחילת קורונה
80-89,"{'amount': 82, 'percentage': 13.5}","{'amount': 60, 'percentage': 9.9}",6 חודשים
80-89,"{'amount': 7, 'percentage': 10.1}","{'amount': 8, 'percentage': 11.6}",חודש אחרון
80-89,"{'amount': 253, 'percentage': 12.7}","{'amount': 200, 'percentage': 10}",שנה
90+,"{'amount': 9, 'percentage': 3.3}","{'amount': 9, 'percentage': 3.3}",3 חודשים
90+,"{'amount': 25, 'percentage': 4.1}","{'amount': 25, 'percentage': 4.1}",6 חודשים
90+,"{'amount': 165, 'percentage': 2.5}","{'amount': 161, 'percentage': 2.5}",מתחילת קורונה
90+,"{'amount': 3, 'percentage': 4.3}","{'amount': 2, 'percentage': 2.9}",חודש אחרון
90+,"{'amount': 70, 'percentage': 3.5}","{'amount': 72, 'percentage': 3.6}",שנה
