date,amount
2021-08-20T00:00:00.000Z,4110
2021-08-21T00:00:00.000Z,2976
2021-08-22T00:00:00.000Z,3654
2021-08-23T00:00:00.000Z,4377
2021-08-24T00:00:00.000Z,4761
2021-08-25T00:00:00.000Z,4202
2021-08-26T00:00:00.000Z,3862
