age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,182840,40108,1505185,12.1,2.7
20-29,538506,192629,1277634,42.1,15.1
30-39,596499,241222,1186386,50.3,20.3
40-49,696550,428656,1080768,64.4,39.7
50-59,613623,471725,832687,73.7,56.7
60-69,588209,524889,735380,80,71.4
70-79,443431,410566,462148,95.9,88.8
80-89,198023,181436,222547,89,81.5
90+,46639,41673,50589,92.2,82.4
