Day_Date,vaccinated,vaccinated_cum,vaccinated_population_perc,vaccinated_seconde_dose,vaccinated_seconde_dose_cum,vaccinated_seconde_dose_population_perc
2020-12-19T00:00:00.000Z,41,58,0,0,0,0
2020-12-20T00:00:00.000Z,7348,7406,0.08,0,0,0
2020-12-21T00:00:00.000Z,24859,32265,0.35,0,0,0
2020-12-22T00:00:00.000Z,44602,76867,0.83,0,0,0
2020-12-23T00:00:00.000Z,62637,139504,1.51,0,0,0
2020-12-24T00:00:00.000Z,73325,212829,2.31,0,0,0
2020-12-25T00:00:00.000Z,38560,251389,2.73,0,0,0
2020-12-26T00:00:00.000Z,32644,284033,3.08,0,0,0
2020-12-27T00:00:00.000Z,104631,388664,4.22,0,0,0
2020-12-28T00:00:00.000Z,134984,523648,5.68,0,0,0
2020-12-29T00:00:00.000Z,156295,679943,7.38,0,0,0
2020-12-30T00:00:00.000Z,152999,832942,9.04,0,0,0
2020-12-31T00:00:00.000Z,159211,992153,10.77,0,0,0
2021-01-01T00:00:00.000Z,71920,1064073,11.55,0,0,0
2021-01-02T00:00:00.000Z,72119,1136192,12.33,0,0,0
2021-01-03T00:00:00.000Z,150363,1286555,13.96,0,0,0
2021-01-04T00:00:00.000Z,152105,1438660,15.61,2,2,0
2021-01-05T00:00:00.000Z,125914,1564574,16.98,0,2,0
2021-01-06T00:00:00.000Z,103855,1668429,18.11,0,2,0
2021-01-07T00:00:00.000Z,116249,1784678,19.37,4,6,0
2021-01-08T00:00:00.000Z,66549,1851227,20.09,5,11,0
2021-01-09T00:00:00.000Z,44623,1895850,20.57,26,37,0
2021-01-10T00:00:00.000Z,37698,1933548,20.98,5988,6025,0.07
2021-01-11T00:00:00.000Z,20978,1954526,21.21,19182,25207,0.27
2021-01-12T00:00:00.000Z,23941,1978467,21.47,35576,60783,0.66
2021-01-13T00:00:00.000Z,51728,2030195,22.03,56565,117348,1.27
2021-01-14T00:00:00.000Z,56042,2086237,22.64,68656,186004,2.02
2021-01-15T00:00:00.000Z,30721,2116958,22.97,35990,221994,2.41
2021-01-16T00:00:00.000Z,29467,2146425,23.29,26040,248034,2.69
2021-01-17T00:00:00.000Z,68433,2214858,24.04,84095,332129,3.6
2021-01-18T00:00:00.000Z,69928,2284786,24.79,119285,451414,4.9
2021-01-19T00:00:00.000Z,73307,2358093,25.59,136365,587779,6.38
2021-01-20T00:00:00.000Z,76641,2434734,26.42,142625,730404,7.93
2021-01-21T00:00:00.000Z,69462,2504196,27.18,163180,893584,9.7
2021-01-22T00:00:00.000Z,37611,2541807,27.58,70692,964276,10.46
2021-01-23T00:00:00.000Z,39772,2581579,28.02,53298,1017574,11.04
2021-01-24T00:00:00.000Z,68858,2650437,28.76,139637,1157211,12.56
2021-01-25T00:00:00.000Z,80494,2730931,29.64,138584,1295795,14.06
2021-01-26T00:00:00.000Z,77291,2808222,30.48,125311,1421106,15.42
2021-01-27T00:00:00.000Z,77413,2885635,31.32,124073,1545179,16.77
2021-01-28T00:00:00.000Z,79158,2964793,32.17,129851,1675030,18.18
2021-01-29T00:00:00.000Z,36442,3001235,32.57,64434,1739464,18.88
2021-01-30T00:00:00.000Z,34184,3035419,32.94,42572,1782036,19.34
2021-01-31T00:00:00.000Z,72972,3108391,33.73,59163,1841199,19.98
2021-02-01T00:00:00.000Z,82064,3190455,34.62,34956,1876155,20.36
2021-02-02T00:00:00.000Z,69587,3260042,35.38,30734,1906889,20.69
2021-02-03T00:00:00.000Z,58554,3318596,36.01,49353,1956242,21.23
2021-02-04T00:00:00.000Z,71304,3389900,36.79,57150,2013392,21.85
2021-02-05T00:00:00.000Z,33654,3423554,37.15,28581,2041973,22.16
2021-02-06T00:00:00.000Z,20826,3444380,37.38,21472,2063445,22.39
2021-02-07T00:00:00.000Z,52584,3496964,37.95,66244,2129689,23.11
2021-02-08T00:00:00.000Z,58164,3555128,38.58,64534,2194223,23.81
2021-02-09T00:00:00.000Z,64928,3620056,39.29,65728,2259951,24.53
2021-02-10T00:00:00.000Z,68618,3688674,40.03,70257,2330208,25.29
2021-02-11T00:00:00.000Z,78547,3767221,40.88,68742,2398950,26.03
2021-02-12T00:00:00.000Z,38824,3806045,41.3,37185,2436135,26.44
2021-02-13T00:00:00.000Z,27293,3833338,41.6,30170,2466305,26.76
2021-02-14T00:00:00.000Z,71775,3905113,42.38,67292,2533597,27.5
