age,active_amount_boost_vaccinated,active_amount_vaccinated,active_amount_not_vaccinated,active_boost_vaccinated_normalized,active_vaccinated_normalized,active_not_vaccinated_normalized,serious_amount_boost_vaccinated,serious_amount_vaccinated,serious_amount_not_vaccinated,serious_boost_vaccinated_normalized,serious_vaccinated_normalized,serious_not_vaccinated_normalized
12-15,0,273,2398,0,88.5,909.1,0,0,1,0,0,0.4
16-19,50,971,1066,35.2,339.4,796.1,0,1,1,0,0.3,0.7
20-29,153,2679,1983,37.2,436.5,821.6,0,2,14,0,0.3,5.8
30-39,342,2639,2036,73.3,503.7,1178.2,0,1,29,0,0.2,16.8
40-49,371,1767,1472,66.1,460.1,1108.6,1,5,78,0.2,1.3,58.7
50-59,238,771,824,45.6,319.3,903.8,4,18,76,0.8,7.5,83.4
60-69,239,465,503,44.5,343.4,792.4,9,23,94,1.7,17,148.1
70-79,163,232,303,40,332.8,693,15,26,72,3.7,37.3,164.7
80-89,118,145,170,66.6,397.5,802.5,4,20,30,2.3,54.8,141.6
90+,43,33,54,119,262.7,659.7,1,5,14,2.8,39.8,171
