name,value
פסיכולוגיה,0
פראמדיקים,0
חובשי רפואת חירום,0
פיזיותרפיה,3
ריפוי בעיסוק,6
שירות סוציאלי,7
קלינאות תקשורת,10
מעבדה,12
מערך לוגיסטי,13
כוח עזר,19
רוקחות,23
סקטורים אחרים,72
מינהל ומשק,113
