name,coronaOccupancy,normalOccupancy,isolatedTeam
אוגוסטה ויקטוריה,,,3
שערי צדק,,96.43734741210938,26
אסותא אשדוד,,,0
בני ציון,,87.29792022705078,12
ברזילי,,71.66666412353516,11
הדסה עין כרם,,109.4466934204102,24
הכרמל,,73.82412719726562,4
הלל יפה,,78.64077758789062,10
המרכזי בעמק,,74.6551742553711,47
המשפחה הקדושה,,,0
הסקוטי,,98.58155822753906,6
השרון ק. גולדה,,63.48547744750977,1
וולפסון,,66.32503509521484,9
זיו צפת,,71.46974182128906,3
יוספטל,,44.61538314819336,0
אל מקאסד,,,0
מאיר,,82.13367462158203,18
מעייני הישועה,,91.69329071044922,5
נהריה,,75.24205017089844,15
סוראסקי,,98.0358657836914,22
סורוקה,,71.58992004394531,5
סנט ג'וזף,,,1
סנט וינסנט,,59.70149230957031,10
פוריה,,63.09859085083008,11
קפלן,,86.28158569335938,4
רבין ק. בילינסון,,93.05389404296875,14
"רמב""ם",,87.62886810302734,14
שיבא,,92.84809875488281,20
שמיר (אסף הרופא),,61.84062957763672,16
שניידר,,,0
לניאדו,,79.3871841430664,17
