name,coronaOccupancy,normalOccupancy,isolatedTeam
אוגוסטה ויקטוריה,,,1
שערי צדק,,86.24078369140625,96
אסותא אשדוד,,,24
בני ציון,,73.67205810546875,33
ברזילי,,70.66666412353516,57
הדסה עין כרם,,103.6437225341797,44
הכרמל,,63.80368041992188,21
הלל יפה,,72.42718505859375,30
המרכזי בעמק,,72.75862121582031,101
המשפחה הקדושה,,,0
הסקוטי,,101.4184417724609,1
השרון ק. גולדה,,65.14522552490234,14
וולפסון,,61.05417251586914,31
זיו צפת,,74.9279556274414,41
לניאדו,,79.66574096679688,75
אל מקאסד,,,0
מעייני הישועה,,84.34504699707031,33
נהריה,,77.17842102050781,56
סוראסקי,,94.70538330078125,103
סורוקה,,69.50477600097656,59
סנט ג'וזף,,,3
סנט וינסנט,,56.7164192199707,5
פוריה,,63.94366073608398,10
קפלן,,104.873649597168,46
רבין ק. בילינסון,,83.59281158447266,41
"רמב""ם",,78.6597900390625,58
שיבא,,86.77214813232422,50
שמיר (אסף הרופא),,59.93265914916992,71
שניידר,,,0
מאיר,,79.17737579345703,41
