name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,94.55696105957031,6
סנט וינסנט,,,0
שמיר,,60.49382781982422,0
וולפסון,,,0
זיו צפת,,,0
הלל יפה,,71.06796264648438,0
נהריה,,67.2602767944336,0
ברזילי,,70.3642349243164,2
פוריה,,60.84506988525391,0
בני ציון,,,0
רבין ק. בילינסון,,75.6886215209961,4
סורוקה,,68.54908752441406,5
מאיר,,,0
קפלן,,94.94584655761719,4
המרכזי בעמק,,67.75862121582031,3
"רמב""ם",,78.99590301513672,0
הדסה עין כרם,,98.01587677001953,7
הסקוטי,,28.5714282989502,1
סנט ג'וזף,,,0
שערי צדק,,88.94348907470703,1
אל מקאסד,,,0
לניאדו,,72.42340087890625,6
אוגוסטה ויקטוריה,,,0
שניידר,,,0
סוראסקי,,95.21776580810547,0
אסותא אשדוד,,,0
המשפחה הקדושה,,,0
השרון ק. גולדה,,51.4522819519043,1
יוספטל,,,0
מעייני הישועה,,,0
הכרמל,,,0
