age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,19403,546,1505185,1.3,0
20-29,121825,6678,1277634,9.5,0.5
30-39,169130,14002,1186386,14.3,1.2
40-49,271498,20015,1080768,25.1,1.9
50-59,380785,22543,832687,45.7,2.7
60-69,495943,85036,735380,67.4,11.6
70-79,393973,79155,462148,85.2,17.1
80-89,174721,26814,222547,78.5,12
90+,41100,4876,50589,81.2,9.6
