section,female,male,period,order_period
0-9,"{'amount': 282, 'percentage': 8.7}","{'amount': 243, 'percentage': 7.5}",חודש אחרון,5
0-9,"{'amount': 56790, 'percentage': 7.1}","{'amount': 59966, 'percentage': 7.4}",שנה,2
0-9,"{'amount': 35234, 'percentage': 9.1}","{'amount': 37156, 'percentage': 9.6}",6 חודשים,3
0-9,"{'amount': 688, 'percentage': 8.9}","{'amount': 662, 'percentage': 8.5}",3 חודשים,4
0-9,"{'amount': 57700, 'percentage': 6.9}","{'amount': 60941, 'percentage': 7.3}",מתחילת קורונה,1
10-19,"{'amount': 84729, 'percentage': 10.2}","{'amount': 92500, 'percentage': 11.1}",מתחילת קורונה,1
10-19,"{'amount': 600, 'percentage': 18.6}","{'amount': 541, 'percentage': 16.7}",חודש אחרון,5
10-19,"{'amount': 1358, 'percentage': 17.5}","{'amount': 1137, 'percentage': 14.6}",3 חודשים,4
10-19,"{'amount': 44960, 'percentage': 11.6}","{'amount': 42886, 'percentage': 11}",6 חודשים,3
10-19,"{'amount': 82645, 'percentage': 10.3}","{'amount': 89869, 'percentage': 11.2}",שנה,2
20-29,"{'amount': 38028, 'percentage': 9.8}","{'amount': 32093, 'percentage': 8.3}",6 חודשים,3
20-29,"{'amount': 375, 'percentage': 4.8}","{'amount': 364, 'percentage': 4.7}",3 חודשים,4
20-29,"{'amount': 105, 'percentage': 3.2}","{'amount': 119, 'percentage': 3.7}",חודש אחרון,5
20-29,"{'amount': 81656, 'percentage': 9.8}","{'amount': 77521, 'percentage': 9.3}",מתחילת קורונה,1
20-29,"{'amount': 78882, 'percentage': 9.8}","{'amount': 74094, 'percentage': 9.2}",שנה,2
30-39,"{'amount': 59101, 'percentage': 7.3}","{'amount': 53820, 'percentage': 6.7}",שנה,2
30-39,"{'amount': 28591, 'percentage': 7.4}","{'amount': 24880, 'percentage': 6.4}",6 חודשים,3
30-39,"{'amount': 446, 'percentage': 5.7}","{'amount': 341, 'percentage': 4.4}",3 חודשים,4
30-39,"{'amount': 147, 'percentage': 4.5}","{'amount': 101, 'percentage': 3.1}",חודש אחרון,5
30-39,"{'amount': 60883, 'percentage': 7.3}","{'amount': 56066, 'percentage': 6.7}",מתחילת קורונה,1
40-49,"{'amount': 50680, 'percentage': 6.3}","{'amount': 44828, 'percentage': 5.6}",שנה,2
40-49,"{'amount': 22671, 'percentage': 5.8}","{'amount': 19721, 'percentage': 5.1}",6 חודשים,3
40-49,"{'amount': 468, 'percentage': 6}","{'amount': 375, 'percentage': 4.8}",3 חודשים,4
40-49,"{'amount': 230, 'percentage': 7.1}","{'amount': 152, 'percentage': 4.7}",חודש אחרון,5
40-49,"{'amount': 52308, 'percentage': 6.3}","{'amount': 46686, 'percentage': 5.6}",מתחילת קורונה,1
50-59,"{'amount': 15390, 'percentage': 4}","{'amount': 13673, 'percentage': 3.5}",6 חודשים,3
50-59,"{'amount': 294, 'percentage': 3.8}","{'amount': 255, 'percentage': 3.3}",3 חודשים,4
50-59,"{'amount': 36649, 'percentage': 4.6}","{'amount': 33285, 'percentage': 4.1}",שנה,2
50-59,"{'amount': 38143, 'percentage': 4.6}","{'amount': 34902, 'percentage': 4.2}",מתחילת קורונה,1
50-59,"{'amount': 122, 'percentage': 3.8}","{'amount': 137, 'percentage': 4.2}",חודש אחרון,5
60-69,"{'amount': 264, 'percentage': 3.4}","{'amount': 224, 'percentage': 2.9}",3 חודשים,4
60-69,"{'amount': 9229, 'percentage': 2.4}","{'amount': 8257, 'percentage': 2.1}",6 חודשים,3
60-69,"{'amount': 133, 'percentage': 4.1}","{'amount': 118, 'percentage': 3.6}",חודש אחרון,5
60-69,"{'amount': 23794, 'percentage': 2.9}","{'amount': 23941, 'percentage': 2.9}",מתחילת קורונה,1
60-69,"{'amount': 22833, 'percentage': 2.8}","{'amount': 22695, 'percentage': 2.8}",שנה,2
70-79,"{'amount': 81, 'percentage': 2.5}","{'amount': 78, 'percentage': 2.4}",חודש אחרון,5
70-79,"{'amount': 172, 'percentage': 2.2}","{'amount': 151, 'percentage': 1.9}",3 חודשים,4
70-79,"{'amount': 4756, 'percentage': 1.2}","{'amount': 4038, 'percentage': 1}",6 חודשים,3
70-79,"{'amount': 11631, 'percentage': 1.4}","{'amount': 11428, 'percentage': 1.4}",שנה,2
70-79,"{'amount': 12173, 'percentage': 1.5}","{'amount': 12126, 'percentage': 1.5}",מתחילת קורונה,1
80-89,"{'amount': 76, 'percentage': 1}","{'amount': 74, 'percentage': 1}",3 חודשים,4
80-89,"{'amount': 6982, 'percentage': 0.9}","{'amount': 5065, 'percentage': 0.6}",שנה,2
80-89,"{'amount': 2991, 'percentage': 0.8}","{'amount': 1974, 'percentage': 0.5}",6 חודשים,3
80-89,"{'amount': 18, 'percentage': 0.6}","{'amount': 23, 'percentage': 0.7}",חודש אחרון,5
80-89,"{'amount': 7343, 'percentage': 0.9}","{'amount': 5362, 'percentage': 0.6}",מתחילת קורונה,1
90+,"{'amount': 2972, 'percentage': 0.4}","{'amount': 1431, 'percentage': 0.2}",מתחילת קורונה,1
90+,"{'amount': 2, 'percentage': 0.1}","{'amount': 1, 'percentage': 0}",חודש אחרון,5
90+,"{'amount': 29, 'percentage': 0.4}","{'amount': 14, 'percentage': 0.2}",3 חודשים,4
90+,"{'amount': 1100, 'percentage': 0.3}","{'amount': 572, 'percentage': 0.1}",6 חודשים,3
90+,"{'amount': 2757, 'percentage': 0.3}","{'amount': 1339, 'percentage': 0.2}",שנה,2
