gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage
זכר,0-9,3 חודשים,236600,11.2,4,0.3,12,1.2,37,0.8
זכר,0-9,מתחילת קורונה,377821,11,7,0.1,27,0.5,95,0.4
זכר,0-9,6 חודשים,294669,11.9,5,0.2,17,1,61,0.7
זכר,0-9,שנה,323112,11.9,5,0.1,19,0.7,72,0.5
זכר,0-9,חודש אחרון,200835,12.2,2,0.2,11,1.3,32,0.8
נקבה,0-9,3 חודשים,169838,8,1,0.1,6,0.6,27,0.6
נקבה,0-9,מתחילת קורונה,289577,8.4,4,0,13,0.2,62,0.2
נקבה,0-9,6 חודשים,220214,8.9,1,0,6,0.3,41,0.5
נקבה,0-9,חודש אחרון,136105,8.3,1,0.1,6,0.7,23,0.5
נקבה,0-9,שנה,244566,9,3,0.1,10,0.4,52,0.4
זכר,10-19,מתחילת קורונה,384970,11.2,4,0,23,0.4,66,0.2
זכר,10-19,6 חודשים,275500,11.1,2,0.1,13,0.7,31,0.3
זכר,10-19,3 חודשים,234378,11.1,1,0.1,8,0.8,20,0.4
זכר,10-19,שנה,300167,11,2,0,14,0.5,43,0.3
זכר,10-19,חודש אחרון,183301,11.2,1,0.1,8,0.9,14,0.3
נקבה,10-19,3 חודשים,215292,10.2,1,0.1,7,0.7,13,0.3
נקבה,10-19,6 חודשים,256082,10.3,2,0.1,12,0.7,25,0.3
נקבה,10-19,חודש אחרון,156766,9.5,1,0.1,7,0.8,9,0.2
נקבה,10-19,מתחילת קורונה,351054,10.2,5,0.1,19,0.3,62,0.2
נקבה,10-19,שנה,279519,10.3,2,0,15,0.5,39,0.3
זכר,20-29,חודש אחרון,82541,5,1,0.1,7,0.8,20,0.5
זכר,20-29,6 חודשים,136709,5.5,5,0.2,20,1.1,73,0.8
זכר,20-29,מתחילת קורונה,215718,6.3,24,0.2,49,0.9,207,0.8
זכר,20-29,שנה,152219,5.6,12,0.3,37,1.3,133,1
זכר,20-29,3 חודשים,114954,5.4,2,0.1,9,0.9,27,0.6
נקבה,20-29,חודש אחרון,129815,7.9,3,0.2,9,1.1,14,0.3
נקבה,20-29,מתחילת קורונה,296302,8.6,19,0.2,55,1,245,0.9
נקבה,20-29,שנה,224791,8.3,10,0.2,28,1,143,1.1
נקבה,20-29,6 חודשים,204315,8.2,5,0.2,16,0.9,83,0.9
נקבה,20-29,3 חודשים,175414,8.3,3,0.2,12,1.2,22,0.5
זכר,30-39,3 חודשים,119396,5.6,6,0.4,14,1.4,43,0.9
זכר,30-39,6 חודשים,140526,5.7,17,0.6,30,1.7,181,2
זכר,30-39,מתחילת קורונה,201172,5.9,48,0.5,85,1.5,566,2.1
זכר,30-39,שנה,154804,5.7,30,0.7,50,1.8,316,2.4
זכר,30-39,חודש אחרון,92368,5.6,3,0.2,9,1.1,36,0.9
נקבה,30-39,חודש אחרון,147992,9,2,0.2,7,0.8,41,1
נקבה,30-39,שנה,235977,8.7,18,0.4,59,2.1,321,2.4
נקבה,30-39,מתחילת קורונה,289014,8.4,33,0.3,90,1.6,545,2
