instituteDesc,occupancy,gOccupancy,occupancyDate
שמואל הרופא,5.6,72.7,2022-02-14T00:00:00.000Z
פוריה,30.8,67.9,2022-02-14T00:00:00.000Z
רבין ק. השרון,53.5,61.8,2022-02-14T00:00:00.000Z
הכרמל,56.6,84.3,2022-02-14T00:00:00.000Z
וולפסון,61.5,76.4,2022-02-14T00:00:00.000Z
בני ציון,63.6,79.2,2022-02-14T00:00:00.000Z
מאיר,65,79.2,2022-02-14T00:00:00.000Z
סורוקה,67.4,75.1,2022-02-14T00:00:00.000Z
לניאדו,70.5,96.7,2022-02-14T00:00:00.000Z
איכילוב,71.3,117.2,2022-02-14T00:00:00.000Z
הדסה הר הצופים,72.2,72.9,2022-02-14T00:00:00.000Z
המרכזי בעמק,74.2,71.3,2022-02-14T00:00:00.000Z
נהריה,75.3,80.1,2022-02-14T00:00:00.000Z
"רמב""ם",80.3,96,2022-02-14T00:00:00.000Z
שמיר,80.7,80.9,2022-02-14T00:00:00.000Z
יוספטל,81.3,61.5,2022-02-14T00:00:00.000Z
שיבא,82.8,106.6,2022-02-14T00:00:00.000Z
קפלן,86.7,86.6,2022-02-14T00:00:00.000Z
ברזילי,89.6,83.8,2022-02-14T00:00:00.000Z
שערי צדק,92,110.9,2022-02-14T00:00:00.000Z
רבין ק. בילינסון,94.3,90.6,2022-02-14T00:00:00.000Z
מ.גריאטרי פרדס חנה,,40.1,2022-02-14T00:00:00.000Z
אסותא אשדוד,96.6,100,2022-02-14T00:00:00.000Z
הדסה עין כרם,103.9,93,2022-02-14T00:00:00.000Z
זיו צפת,103.1,76.1,2022-02-14T00:00:00.000Z
