period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
3_Month,0-9,1144060,411377,35.96
All,0-9,1659657,645693,38.91
1_Year,0-9,1508098,558198,37.01
6_Month,0-9,1387378,517642,37.31
1_Month,0-9,897457,347907,38.77
6_Month,10-19,1253484,528670,42.18
1_Month,10-19,712258,351338,49.33
All,10-19,1567672,692341,44.16
1_Year,10-19,1381748,563063,40.75
3_Month,10-19,1039539,451579,43.44
1_Month,20-29,514898,219772,42.68
1_Year,20-29,1169981,371045,31.71
3_Month,20-29,792212,291486,36.79
6_Month,20-29,1021266,343888,33.67
All,20-29,1355420,481060,35.49
3_Month,30-39,774701,307301,39.67
All,30-39,1248619,462919,37.07
1_Month,30-39,542300,247562,45.65
1_Year,30-39,1097386,384985,35.08
6_Month,30-39,969607,360552,37.19
All,40-49,1104295,407840,36.93
1_Year,40-49,970466,339063,34.94
6_Month,40-49,866722,318643,36.76
3_Month,40-49,711595,279883,39.33
1_Month,40-49,501811,224959,44.83
All,50-59,835452,267031,31.96
1_Year,50-59,721610,213002,29.52
6_Month,50-59,639114,199205,31.17
3_Month,50-59,514670,178914,34.76
1_Month,50-59,350573,144417,41.19
1_Month,60-69,274517,91344,33.27
3_Month,60-69,409435,116820,28.53
6_Month,60-69,510420,128038,25.08
1_Year,60-69,577720,138139,23.91
All,60-69,670402,174567,26.04
3_Month,70-79,243715,59019,24.22
1_Month,70-79,159973,45315,28.33
6_Month,70-79,307903,64585,20.98
1_Year,70-79,353837,70536,19.93
All,70-79,413759,89730,21.69
1_Month,80-89,67047,18549,27.67
3_Month,80-89,95177,23035,24.2
6_Month,80-89,119831,25857,21.58
1_Year,80-89,142551,28677,20.12
All,80-89,178772,38904,21.76
All,90+,47367,11155,23.55
1_Year,90+,35713,7702,21.57
6_Month,90+,29382,6936,23.61
3_Month,90+,23853,6184,25.93
1_Month,90+,18048,5086,28.18
