section,male,female,period,order_period
0-9,"{'amount': 293014, 'percentage': 11.9}","{'amount': 219380, 'percentage': 8.9}",6 חודשים,3
0-9,"{'amount': 202348, 'percentage': 12.1}","{'amount': 137636, 'percentage': 8.3}",חודש אחרון,5
0-9,"{'amount': 234092, 'percentage': 11.2}","{'amount': 168276, 'percentage': 8}",3 חודשים,4
0-9,"{'amount': 320794, 'percentage': 11.9}","{'amount': 243214, 'percentage': 9}",שנה,2
0-9,"{'amount': 375179, 'percentage': 11}","{'amount': 287954, 'percentage': 8.4}",מתחילת קורונה,1
10-19,"{'amount': 274079, 'percentage': 11.1}","{'amount': 254839, 'percentage': 10.3}",6 חודשים,3
10-19,"{'amount': 232247, 'percentage': 11.1}","{'amount': 213438, 'percentage': 10.2}",3 חודשים,4
10-19,"{'amount': 186310, 'percentage': 11.2}","{'amount': 159925, 'percentage': 9.6}",חודש אחרון,5
10-19,"{'amount': 382720, 'percentage': 11.2}","{'amount': 349151, 'percentage': 10.2}",מתחילת קורונה,1
10-19,"{'amount': 298279, 'percentage': 11.1}","{'amount': 277978, 'percentage': 10.3}",שנה,2
20-29,"{'amount': 151686, 'percentage': 5.6}","{'amount': 223472, 'percentage': 8.3}",שנה,2
20-29,"{'amount': 136400, 'percentage': 5.5}","{'amount': 203252, 'percentage': 8.2}",6 חודשים,3
20-29,"{'amount': 114074, 'percentage': 5.5}","{'amount': 173733, 'percentage': 8.3}",3 חודשים,4
20-29,"{'amount': 214869, 'percentage': 6.3}","{'amount': 294547, 'percentage': 8.6}",מתחילת קורונה,1
20-29,"{'amount': 84457, 'percentage': 5.1}","{'amount': 132089, 'percentage': 7.9}",חודש אחרון,5
30-39,"{'amount': 199803, 'percentage': 5.8}","{'amount': 286820, 'percentage': 8.4}",מתחילת קורונה,1
30-39,"{'amount': 93610, 'percentage': 5.6}","{'amount': 149571, 'percentage': 9}",חודש אחרון,5
30-39,"{'amount': 118036, 'percentage': 5.6}","{'amount': 184437, 'percentage': 8.8}",3 חודשים,4
30-39,"{'amount': 139657, 'percentage': 5.7}","{'amount': 215855, 'percentage': 8.8}",6 חודשים,3
30-39,"{'amount': 153669, 'percentage': 5.7}","{'amount': 234082, 'percentage': 8.7}",שנה,2
40-49,"{'amount': 126795, 'percentage': 5.1}","{'amount': 186590, 'percentage': 7.6}",6 חודשים,3
40-49,"{'amount': 87866, 'percentage': 5.3}","{'amount': 133074, 'percentage': 8}",חודש אחרון,5
40-49,"{'amount': 178040, 'percentage': 5.2}","{'amount': 248450, 'percentage': 7.3}",מתחילת קורונה,1
40-49,"{'amount': 110250, 'percentage': 5.3}","{'amount': 165261, 'percentage': 7.9}",3 חודשים,4
40-49,"{'amount': 138534, 'percentage': 5.1}","{'amount': 201224, 'percentage': 7.5}",שנה,2
50-59,"{'amount': 57302, 'percentage': 3.4}","{'amount': 84543, 'percentage': 5.1}",חודש אחרון,5
50-59,"{'amount': 72064, 'percentage': 3.4}","{'amount': 104072, 'percentage': 5}",3 חודשים,4
50-59,"{'amount': 80369, 'percentage': 3.3}","{'amount': 114844, 'percentage': 4.7}",6 חודשים,3
50-59,"{'amount': 87973, 'percentage': 3.3}","{'amount': 124444, 'percentage': 4.6}",שנה,2
50-59,"{'amount': 118076, 'percentage': 3.5}","{'amount': 158864, 'percentage': 4.7}",מתחילת קורונה,1
60-69,"{'amount': 53005, 'percentage': 2.2}","{'amount': 72219, 'percentage': 2.9}",6 חודשים,3
60-69,"{'amount': 79282, 'percentage': 2.3}","{'amount': 100102, 'percentage': 2.9}",מתחילת קורונה,1
60-69,"{'amount': 36979, 'percentage': 2.2}","{'amount': 52604, 'percentage': 3.2}",חודש אחרון,5
60-69,"{'amount': 48450, 'percentage': 2.3}","{'amount': 66454, 'percentage': 3.2}",3 חודשים,4
60-69,"{'amount': 58454, 'percentage': 2.2}","{'amount': 78770, 'percentage': 2.9}",שנה,2
70-79,"{'amount': 28169, 'percentage': 1.1}","{'amount': 34689, 'percentage': 1.4}",6 חודשים,3
70-79,"{'amount': 41757, 'percentage': 1.2}","{'amount': 49132, 'percentage': 1.4}",מתחילת קורונה,1
70-79,"{'amount': 31327, 'percentage': 1.2}","{'amount': 38405, 'percentage': 1.4}",שנה,2
70-79,"{'amount': 25981, 'percentage': 1.2}","{'amount': 31917, 'percentage': 1.5}",3 חודשים,4
70-79,"{'amount': 19486, 'percentage': 1.2}","{'amount': 24819, 'percentage': 1.5}",חודש אחרון,5
80-89,"{'amount': 9325, 'percentage': 0.4}","{'amount': 13273, 'percentage': 0.6}",3 חודשים,4
80-89,"{'amount': 10397, 'percentage': 0.4}","{'amount': 14753, 'percentage': 0.6}",6 חודשים,3
80-89,"{'amount': 11786, 'percentage': 0.4}","{'amount': 16597, 'percentage': 0.6}",שנה,2
80-89,"{'amount': 7367, 'percentage': 0.4}","{'amount': 10775, 'percentage': 0.6}",חודש אחרון,5
80-89,"{'amount': 16473, 'percentage': 0.5}","{'amount': 23079, 'percentage': 0.7}",מתחילת קורונה,1
90+,"{'amount': 1682, 'percentage': 0.1}","{'amount': 3301, 'percentage': 0.2}",חודש אחרון,5
90+,"{'amount': 2645, 'percentage': 0.1}","{'amount': 5018, 'percentage': 0.2}",שנה,2
90+,"{'amount': 2331, 'percentage': 0.1}","{'amount': 4445, 'percentage': 0.2}",6 חודשים,3
90+,"{'amount': 2088, 'percentage': 0.1}","{'amount': 3988, 'percentage': 0.2}",3 חודשים,4
90+,"{'amount': 3846, 'percentage': 0.1}","{'amount': 7564, 'percentage': 0.2}",מתחילת קורונה,1
