period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,120758,9254,7.66
3_Month,0-9,316000,90761,28.72
6_Month,0-9,1225394,503480,41.09
1_Year,0-9,1491040,624297,41.87
All,0-9,1697625,732314,43.14
1_Month,10-19,128332,7994,6.23
3_Month,10-19,331624,86684,26.14
6_Month,10-19,1146383,539412,47.05
1_Year,10-19,1390473,628271,45.18
All,10-19,1615967,773957,47.89
1_Month,20-29,167015,8277,4.96
3_Month,20-29,422505,80448,19.04
6_Month,20-29,985331,372951,37.85
1_Year,20-29,1219127,435103,35.69
All,20-29,1443919,557059,38.58
1_Month,30-39,156812,11698,7.46
3_Month,30-39,410873,95644,23.28
6_Month,30-39,958850,404147,42.15
1_Year,30-39,1162383,467504,40.22
All,30-39,1345816,553996,41.16
1_Month,40-49,151149,11506,7.61
3_Month,40-49,391126,90770,23.21
6_Month,40-49,875562,371837,42.47
1_Year,40-49,1040510,420658,40.43
All,40-49,1194311,495118,41.46
1_Month,50-59,136413,9978,7.31
3_Month,50-59,338896,69316,20.45
6_Month,50-59,674201,249062,36.94
1_Year,50-59,802672,276781,34.48
All,50-59,927262,334149,36.04
1_Month,60-69,119259,10537,8.84
3_Month,60-69,294944,56375,19.11
6_Month,60-69,553259,173735,31.4
1_Year,60-69,658319,191288,29.06
All,60-69,757113,229811,30.35
1_Month,70-79,78126,8295,10.62
3_Month,70-79,195266,37048,18.97
6_Month,70-79,345981,96318,27.84
1_Year,70-79,414073,105938,25.58
All,70-79,478318,126414,26.43
1_Month,80-89,31108,3225,10.37
3_Month,80-89,73458,13686,18.63
6_Month,80-89,128893,36876,28.61
1_Year,80-89,158955,41466,26.09
All,80-89,200678,52473,26.15
1_Month,90+,8678,808,9.31
3_Month,90+,17866,3175,17.77
6_Month,90+,30152,9368,31.07
1_Year,90+,37725,10568,28.01
All,90+,51845,14237,27.46
