name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,thirdDose,activeSickTo1000
Qedumim,4.2,ירוק,2.2,12,0,קטן מ-15,ירוק,2022-11-29T00:00:00.000Z,73.82,68.49,50.12,
Elqana,4.5,ירוק,7.6,33,0,קטן מ-15,ירוק,2022-11-29T00:00:00.000Z,81.56,76.81,61.05,
Teqoa,4.5,ירוק,7.2,44,0,קטן מ-15,ירוק,2022-11-29T00:00:00.000Z,62.75,56.71,37.34,
Kokhav Hashahar,4.5,ירוק,4.3,20,0, 0 ,ירוק,2022-11-29T00:00:00.000Z,62.37,54.54,37.67,0.0
Ari'el,8.1,צהוב,14.2,20,11,23,אדום,2022-11-29T00:00:00.000Z,71.40,68.25,53.94,11.2
Bet El,4.7,צהוב,0.0,0,0,קטן מ-15,צהוב,2022-11-29T00:00:00.000Z,67.80,61.37,44.58,
Mizpe Yeriho,3.1,ירוק,3.9,33,0,קטן מ-15,ירוק,2022-11-29T00:00:00.000Z,59.84,53.37,36.53,
Allon Shevut,2,ירוק,0.0,0,0,קטן מ-15,ירוק,2022-11-29T00:00:00.000Z,מעל 90%,84.76,66.44,
Qiryat Arba,4,ירוק,4.1,38,0,קטן מ-15,ירוק,2022-11-29T00:00:00.000Z,62.40,55.36,39.76,
Ma'ale Adummim,6.5,אדום,9.5,23,-9,43,כתום,2022-11-29T00:00:00.000Z,77.63,72.18,55.53,11.4
Ofra,2,ירוק,0.0,0,0,קטן מ-15,ירוק,2022-11-29T00:00:00.000Z,78.37,72.26,53.22,
El'azar,2.7,ירוק,0.0,0,0, 0 ,ירוק,2022-11-29T00:00:00.000Z,86.93,81.37,59.84,0.0
Kefar Adummim,4.5,ירוק,6.3,50,0,קטן מ-15,ירוק,2022-11-29T00:00:00.000Z,74.94,70.50,50.50,
Qarne Shomeron,6,כתום,7.4,25,0,קטן מ-15,צהוב,2022-11-29T00:00:00.000Z,70.93,66.02,49.16,
Shilo,3.8,ירוק,0.0,0,0, 0 ,ירוק,2022-11-29T00:00:00.000Z,55.29,48.82,29.55,0.0
Yaqir,2,ירוק,0.0,0,0,קטן מ-15,ירוק,2022-11-29T00:00:00.000Z,77.23,69.69,49.39,
Efrat,9.3,צהוב,16.6,44,89,23,אדום,2022-11-29T00:00:00.000Z,85.68,79.50,58.70,20.1
Yafi,3.1,ירוק,1.6,3,0,קטן מ-15,ירוק,2022-11-29T00:00:00.000Z,63.77,54.50,32.00,
Yirka,2,ירוק,1.2,2,0,קטן מ-15,ירוק,2022-11-29T00:00:00.000Z,65.41,54.46,34.50,
Kabul,3.2,ירוק,4.2,4,0,קטן מ-15,ירוק,2022-11-29T00:00:00.000Z,65.53,55.24,34.31,
Kaokab Abu Al-Hija,2,ירוק,0.0,0,0, 0 ,ירוק,2022-11-29T00:00:00.000Z,71.73,62.46,38.23,0.0
Kafar Yasif,3.9,ירוק,2.0,1,0,קטן מ-15,ירוק,2022-11-29T00:00:00.000Z,74.17,65.83,41.97,
Kafar Kama,4.5,ירוק,8.8,60,0,קטן מ-15,ירוק,2022-11-29T00:00:00.000Z,74.06,70.35,55.48,
Kafar Kanna,3.8,ירוק,3.9,2,0,קטן מ-15,ירוק,2022-11-29T00:00:00.000Z,69.30,60.08,35.07,
Kafar Manda,2.1,ירוק,0.0,0,0, 0 ,ירוק,2022-11-29T00:00:00.000Z,61.90,52.15,26.15,0.0
Ilut,3,ירוק,2.3,3,0,קטן מ-15,ירוק,2022-11-29T00:00:00.000Z,60.19,52.23,26.79,
