section,female,male,period
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
0-9,"{'amount': 17, 'percentage': 0.3}","{'amount': 34, 'percentage': 0.5}",מתחילת קורונה
0-9,"{'amount': 1, 'percentage': 0.2}","{'amount': 5, 'percentage': 0.8}",6 חודשים
0-9,"{'amount': 10, 'percentage': 0.5}","{'amount': 20, 'percentage': 1}",שנה
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.5}",3 חודשים
10-19,"{'amount': 23, 'percentage': 0.3}","{'amount': 25, 'percentage': 0.4}",מתחילת קורונה
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 9, 'percentage': 0.5}","{'amount': 11, 'percentage': 0.6}",שנה
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 1, 'percentage': 0.9}","{'amount': 2, 'percentage': 1.8}",חודש אחרון
20-29,"{'amount': 63, 'percentage': 1}","{'amount': 60, 'percentage': 0.9}",מתחילת קורונה
20-29,"{'amount': 7, 'percentage': 1.2}","{'amount': 6, 'percentage': 1}",6 חודשים
20-29,"{'amount': 19, 'percentage': 1}","{'amount': 17, 'percentage': 0.9}",שנה
20-29,"{'amount': 1, 'percentage': 0.5}","{'amount': 4, 'percentage': 1.9}",3 חודשים
30-39,"{'amount': 2, 'percentage': 1.8}","{'amount': 1, 'percentage': 0.9}",חודש אחרון
30-39,"{'amount': 116, 'percentage': 1.8}","{'amount': 107, 'percentage': 1.6}",מתחילת קורונה
30-39,"{'amount': 13, 'percentage': 2.2}","{'amount': 4, 'percentage': 0.7}",6 חודשים
30-39,"{'amount': 27, 'percentage': 1.4}","{'amount': 33, 'percentage': 1.7}",שנה
30-39,"{'amount': 4, 'percentage': 1.9}","{'amount': 1, 'percentage': 0.5}",3 חודשים
40-49,"{'amount': 1, 'percentage': 0.9}","{'amount': 0, 'percentage': 0}",חודש אחרון
40-49,"{'amount': 144, 'percentage': 2.2}","{'amount': 271, 'percentage': 4.1}",מתחילת קורונה
40-49,"{'amount': 7, 'percentage': 1.2}","{'amount': 11, 'percentage': 1.8}",6 חודשים
40-49,"{'amount': 27, 'percentage': 1.4}","{'amount': 59, 'percentage': 3}",שנה
40-49,"{'amount': 2, 'percentage': 0.9}","{'amount': 3, 'percentage': 1.4}",3 חודשים
50-59,"{'amount': 3, 'percentage': 2.8}","{'amount': 7, 'percentage': 6.4}",חודש אחרון
50-59,"{'amount': 7, 'percentage': 3.3}","{'amount': 13, 'percentage': 6.2}",3 חודשים
50-59,"{'amount': 274, 'percentage': 4.1}","{'amount': 571, 'percentage': 8.6}",מתחילת קורונה
50-59,"{'amount': 20, 'percentage': 3.3}","{'amount': 27, 'percentage': 4.5}",6 חודשים
50-59,"{'amount': 73, 'percentage': 3.7}","{'amount': 134, 'percentage': 6.8}",שנה
60-69,"{'amount': 7, 'percentage': 6.4}","{'amount': 13, 'percentage': 11.9}",חודש אחרון
60-69,"{'amount': 537, 'percentage': 8.1}","{'amount': 1007, 'percentage': 15.2}",מתחילת קורונה
60-69,"{'amount': 37, 'percentage': 6.1}","{'amount': 82, 'percentage': 13.6}",6 חודשים
60-69,"{'amount': 127, 'percentage': 6.5}","{'amount': 243, 'percentage': 12.4}",שנה
60-69,"{'amount': 16, 'percentage': 7.6}","{'amount': 30, 'percentage': 14.2}",3 חודשים
70-79,"{'amount': 13, 'percentage': 6.2}","{'amount': 36, 'percentage': 17.1}",3 חודשים
70-79,"{'amount': 639, 'percentage': 9.6}","{'amount': 1132, 'percentage': 17.1}",מתחילת קורונה
70-79,"{'amount': 60, 'percentage': 10}","{'amount': 112, 'percentage': 18.6}",6 חודשים
70-79,"{'amount': 199, 'percentage': 10.1}","{'amount': 336, 'percentage': 17.1}",שנה
70-79,"{'amount': 7, 'percentage': 6.4}","{'amount': 20, 'percentage': 18.3}",חודש אחרון
80-89,"{'amount': 542, 'percentage': 8.2}","{'amount': 722, 'percentage': 10.9}",מתחילת קורונה
80-89,"{'amount': 67, 'percentage': 11.1}","{'amount': 85, 'percentage': 14.1}",6 חודשים
80-89,"{'amount': 206, 'percentage': 10.5}","{'amount': 262, 'percentage': 13.3}",שנה
80-89,"{'amount': 13, 'percentage': 11.9}","{'amount': 16, 'percentage': 14.7}",חודש אחרון
80-89,"{'amount': 28, 'percentage': 13.3}","{'amount': 31, 'percentage': 14.7}",3 חודשים
90+,"{'amount': 166, 'percentage': 2.5}","{'amount': 172, 'percentage': 2.6}",מתחילת קורונה
90+,"{'amount': 28, 'percentage': 4.6}","{'amount': 30, 'percentage': 5}",6 חודשים
90+,"{'amount': 75, 'percentage': 3.8}","{'amount': 77, 'percentage': 3.9}",שנה
90+,"{'amount': 10, 'percentage': 4.7}","{'amount': 11, 'percentage': 5.2}",3 חודשים
90+,"{'amount': 7, 'percentage': 6.4}","{'amount': 9, 'percentage': 8.3}",חודש אחרון
