instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,50,61,2022-01-31T00:00:00.000Z
יוספטל,50,33.8,2022-01-31T00:00:00.000Z
הכרמל,51.9,73.2,2022-01-31T00:00:00.000Z
פוריה,51.3,69.6,2022-01-31T00:00:00.000Z
בני ציון,57.9,75.5,2022-01-31T00:00:00.000Z
וולפסון,59,79.8,2022-01-31T00:00:00.000Z
סורוקה,60.9,73.3,2022-01-31T00:00:00.000Z
הדסה הר הצופים,61.1,82.3,2022-01-31T00:00:00.000Z
שערי צדק,70.7,99,2022-01-31T00:00:00.000Z
לניאדו,70.5,83.6,2022-01-31T00:00:00.000Z
"רמב""ם",70.7,78.6,2022-01-31T00:00:00.000Z
המרכזי בעמק,71.6,66.3,2022-01-31T00:00:00.000Z
קפלן,72,86.6,2022-01-31T00:00:00.000Z
ברזילי,74,76.8,2022-01-31T00:00:00.000Z
נהריה,75.8,81.8,2022-01-31T00:00:00.000Z
רבין ק. בילינסון,76.2,84,2022-01-31T00:00:00.000Z
שמיר,78.8,78.7,2022-01-31T00:00:00.000Z
אסותא אשדוד,88.1,105.1,2022-01-31T00:00:00.000Z
זיו צפת,100,74.9,2022-01-31T00:00:00.000Z
הדסה עין כרם,101.9,93.5,2022-01-31T00:00:00.000Z
