instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,47.4,59.8,2022-02-03T00:00:00.000Z
מאיר,53.5,80.5,2022-02-03T00:00:00.000Z
פוריה,53.8,74.9,2022-02-03T00:00:00.000Z
הכרמל,54.7,81,2022-02-03T00:00:00.000Z
הדסה הר הצופים,58.3,80.9,2022-02-03T00:00:00.000Z
בני ציון,59.5,78.5,2022-02-03T00:00:00.000Z
וולפסון,61.1,74.4,2022-02-03T00:00:00.000Z
סורוקה,65.5,70.8,2022-02-03T00:00:00.000Z
"רמב""ם",68.7,83,2022-02-03T00:00:00.000Z
המרכזי בעמק,69.7,68.6,2022-02-03T00:00:00.000Z
שערי צדק,70,110.9,2022-02-03T00:00:00.000Z
ברזילי,72.4,79.1,2022-02-03T00:00:00.000Z
רבין ק. בילינסון,73.6,88.9,2022-02-03T00:00:00.000Z
נהריה,76.3,85.9,2022-02-03T00:00:00.000Z
שמיר,77.6,79.6,2022-02-03T00:00:00.000Z
לניאדו,80.8,93,2022-02-03T00:00:00.000Z
קפלן,81.3,85.7,2022-02-03T00:00:00.000Z
זיו צפת,89.1,78.7,2022-02-03T00:00:00.000Z
שיבא,90,103.5,2022-02-03T00:00:00.000Z
אסותא אשדוד,94.9,104.4,2022-02-03T00:00:00.000Z
הדסה עין כרם,97.1,98.9,2022-02-03T00:00:00.000Z
יוספטל,106.3,52.3,2022-02-03T00:00:00.000Z
