name,value
פרמדיקים,3
עוסים,8
פסיכולוגים/ות,9
עובדי מערך לוגיסטי,9
עובדי מעבדה,13
אנשי כוח עזר,17
רוקחים,28
חובשי רפואת חירום,28
פיזיותרפיסטים/ריפוי בעיסוק/קלינאי תקשורת,34
סקטורים אחרים,53
עובדי מינהל ומשק,113
