age,active_amount_boost_vaccinated,active_amount_vaccinated,active_amount_not_vaccinated,active_boost_vaccinated_normalized,active_vaccinated_normalized,active_not_vaccinated_normalized,serious_amount_boost_vaccinated,serious_amount_vaccinated,serious_amount_not_vaccinated,serious_boost_vaccinated_normalized,serious_vaccinated_normalized,serious_not_vaccinated_normalized
12-15,0,424,4084,0,149.1,1473.7,0,0,2,0,0,0.7
16-19,89,1728,1663,73.4,573.6,1188,0,0,0,0,0,0
20-29,276,4743,3124,79.2,709,1232.3,0,4,18,0,0.6,7.1
30-39,535,5216,3100,130.3,908.6,1698.6,0,2,43,0,0.3,23.6
40-49,549,3049,2154,106.3,718.9,1534.3,4,10,74,0.8,2.4,52.7
50-59,325,1313,1129,65.5,497.6,1174,5,21,97,1,8,100.9
60-69,309,760,731,58.9,518.8,1114,11,32,106,2.1,21.8,161.5
70-79,213,368,391,53.2,490.5,860.2,17,34,78,4.2,45.3,171.6
80-89,141,235,230,80.9,607.5,1052.8,12,24,39,6.9,62,178.5
90+,57,68,80,161.3,520.8,946.4,4,5,19,11.3,38.3,224.8
