section,male,female,period,order_period
0-9,"{'amount': 107367, 'percentage': 10.4}","{'amount': 105146, 'percentage': 10.2}",שנה,2
0-9,"{'amount': 118955, 'percentage': 9.5}","{'amount': 116595, 'percentage': 9.4}",מתחילת קורונה,1
0-9,"{'amount': 35268, 'percentage': 15}","{'amount': 35363, 'percentage': 15.1}",חודש אחרון,5
0-9,"{'amount': 54892, 'percentage': 13.3}","{'amount': 54584, 'percentage': 13.2}",3 חודשים,4
0-9,"{'amount': 55664, 'percentage': 13.2}","{'amount': 55303, 'percentage': 13.1}",6 חודשים,3
10-19,"{'amount': 40985, 'percentage': 9.7}","{'amount': 47021, 'percentage': 11.1}",6 חודשים,3
10-19,"{'amount': 24133, 'percentage': 10.3}","{'amount': 28823, 'percentage': 12.3}",חודש אחרון,5
10-19,"{'amount': 132638, 'percentage': 10.6}","{'amount': 134263, 'percentage': 10.8}",מתחילת קורונה,1
10-19,"{'amount': 39865, 'percentage': 9.6}","{'amount': 45708, 'percentage': 11}",3 חודשים,4
10-19,"{'amount': 105920, 'percentage': 10.2}","{'amount': 114851, 'percentage': 11.1}",שנה,2
20-29,"{'amount': 25311, 'percentage': 6.1}","{'amount': 32839, 'percentage': 7.9}",3 חודשים,4
20-29,"{'amount': 14144, 'percentage': 6}","{'amount': 19081, 'percentage': 8.1}",חודש אחרון,5
20-29,"{'amount': 76475, 'percentage': 7.4}","{'amount': 93795, 'percentage': 9.1}",שנה,2
20-29,"{'amount': 97673, 'percentage': 7.8}","{'amount': 115270, 'percentage': 9.2}",מתחילת קורונה,1
20-29,"{'amount': 25727, 'percentage': 6.1}","{'amount': 33362, 'percentage': 7.9}",6 חודשים,3
30-39,"{'amount': 78869, 'percentage': 6.3}","{'amount': 95484, 'percentage': 7.7}",מתחילת קורונה,1
30-39,"{'amount': 64814, 'percentage': 6.3}","{'amount': 80207, 'percentage': 7.8}",שנה,2
30-39,"{'amount': 13702, 'percentage': 5.8}","{'amount': 19994, 'percentage': 8.5}",חודש אחרון,5
30-39,"{'amount': 24814, 'percentage': 6}","{'amount': 34385, 'percentage': 8.3}",3 חודשים,4
30-39,"{'amount': 25184, 'percentage': 6}","{'amount': 34912, 'percentage': 8.3}",6 חודשים,3
40-49,"{'amount': 20573, 'percentage': 4.9}","{'amount': 25962, 'percentage': 6.1}",6 חודשים,3
40-49,"{'amount': 20171, 'percentage': 4.9}","{'amount': 25486, 'percentage': 6.2}",3 חודשים,4
40-49,"{'amount': 10102, 'percentage': 4.3}","{'amount': 13090, 'percentage': 5.6}",חודש אחרון,5
40-49,"{'amount': 52974, 'percentage': 5.1}","{'amount': 63985, 'percentage': 6.2}",שנה,2
40-49,"{'amount': 65483, 'percentage': 5.3}","{'amount': 78381, 'percentage': 6.3}",מתחילת קורונה,1
50-59,"{'amount': 11354, 'percentage': 2.7}","{'amount': 14418, 'percentage': 3.5}",3 חודשים,4
50-59,"{'amount': 4604, 'percentage': 2}","{'amount': 6258, 'percentage': 2.7}",חודש אחרון,5
50-59,"{'amount': 35172, 'percentage': 3.4}","{'amount': 41433, 'percentage': 4}",שנה,2
50-59,"{'amount': 44968, 'percentage': 3.6}","{'amount': 52245, 'percentage': 4.2}",מתחילת קורונה,1
50-59,"{'amount': 11597, 'percentage': 2.7}","{'amount': 14728, 'percentage': 3.5}",6 חודשים,3
60-69,"{'amount': 7605, 'percentage': 1.8}","{'amount': 9031, 'percentage': 2.1}",6 חודשים,3
60-69,"{'amount': 7401, 'percentage': 1.8}","{'amount': 8782, 'percentage': 2.1}",3 חודשים,4
60-69,"{'amount': 2573, 'percentage': 1.1}","{'amount': 3246, 'percentage': 1.4}",חודש אחרון,5
60-69,"{'amount': 30267, 'percentage': 2.4}","{'amount': 32096, 'percentage': 2.6}",מתחילת קורונה,1
60-69,"{'amount': 23475, 'percentage': 2.3}","{'amount': 25540, 'percentage': 2.5}",שנה,2
70-79,"{'amount': 4153, 'percentage': 1}","{'amount': 4859, 'percentage': 1.2}",6 חודשים,3
70-79,"{'amount': 1178, 'percentage': 0.5}","{'amount': 1527, 'percentage': 0.7}",חודש אחרון,5
70-79,"{'amount': 15323, 'percentage': 1.2}","{'amount': 16542, 'percentage': 1.3}",מתחילת קורונה,1
70-79,"{'amount': 12065, 'percentage': 1.2}","{'amount': 13432, 'percentage': 1.3}",שנה,2
70-79,"{'amount': 4024, 'percentage': 1}","{'amount': 4714, 'percentage': 1.1}",3 חודשים,4
80-89,"{'amount': 6901, 'percentage': 0.6}","{'amount': 9481, 'percentage': 0.8}",מתחילת קורונה,1
80-89,"{'amount': 1896, 'percentage': 0.4}","{'amount': 2454, 'percentage': 0.6}",6 חודשים,3
80-89,"{'amount': 568, 'percentage': 0.2}","{'amount': 835, 'percentage': 0.4}",חודש אחרון,5
80-89,"{'amount': 1825, 'percentage': 0.4}","{'amount': 2370, 'percentage': 0.6}",3 חודשים,4
80-89,"{'amount': 5505, 'percentage': 0.5}","{'amount': 7631, 'percentage': 0.7}",שנה,2
90+,"{'amount': 1685, 'percentage': 0.1}","{'amount': 3493, 'percentage': 0.3}",מתחילת קורונה,1
90+,"{'amount': 411, 'percentage': 0.1}","{'amount': 775, 'percentage': 0.2}",6 חודשים,3
90+,"{'amount': 394, 'percentage': 0.1}","{'amount': 738, 'percentage': 0.2}",3 חודשים,4
90+,"{'amount': 131, 'percentage': 0.1}","{'amount': 269, 'percentage': 0.1}",חודש אחרון,5
90+,"{'amount': 1364, 'percentage': 0.1}","{'amount': 2729, 'percentage': 0.3}",שנה,2
