age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized,Active_amount_boost_vaccinated,Serious_amount_boost_vaccinated,Active_boost_vaccinated_normalized,Serious_boost_vaccinated_normalized,boost_vaccinated_amount_cum
12-15,224305,80408,313375,540,1363,5201,240.7,1695.1,1659.7,0,0,4,0,0,1.3,,,,,
16-19,442743,38196,102606,3746,268,2182,846.1,701.6,2126.6,0,0,2,0,0,1.9,,,,,
20-29,1001961,50032,248368,10171,379,3739,1015.1,757.5,1505.4,0,0,8,0,0,3.2,,,,,
30-39,977909,40411,178706,9361,286,3316,957.2,707.7,1855.6,6,1,30,0.6,2.5,16.8,,,,,
40-49,935062,30511,132983,7258,156,2261,776.2,511.3,1700.2,18,0,55,1.9,0,41.4,,,,,
50-59,753720,19200,77046,3658,105,1229,485.3,546.9,1595.2,36,3,60,4.8,15.6,77.9,,,,,
60-69,669354,11045,61240,1991,64,826,297.5,579.4,1348.8,62,3,94,9.3,27.2,153.5,,,,,
70-79,466468,6028,18288,1139,28,407,244.2,464.5,2225.5,83,0,77,17.8,0,421,,,,,
80-89,209870,3970,11698,768,24,237,365.9,604.5,2026,57,3,37,27.2,75.6,316.3,,,,,
90+,46813,1799,2884,225,17,70,480.6,945,2427.2,18,2,17,38.5,111.2,589.5,,,,,
