age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,303295,204029,618088,49.1,33,152,0
16-19,480355,410962,583545,82.3,70.4,51948,8.9
20-29,1051729,952422,1300361,80.9,73.2,201437,15.5
30-39,1018095,941526,1197026,85.1,78.7,293335,24.5
40-49,965380,901262,1098556,87.9,82,426134,38.8
50-59,772831,728006,849966,90.9,85.7,454443,53.5
60-69,680362,652174,741639,91.7,87.9,503256,67.9
70-79,472479,460018,490784,96.3,93.7,402102,81.9
80-89,213834,207719,225538,94.8,92.1,175616,77.9
90+,48611,46734,51496,94.4,90.8,37549,72.9
