period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,47385,23353,49.28
3_Month,0-9,157732,45590,28.9
6_Month,0-9,640043,295757,46.21
1_Year,0-9,1478216,650412,44
All,0-9,1708455,762203,44.61
1_Month,10-19,42284,17480,41.34
3_Month,10-19,160601,44284,27.57
6_Month,10-19,616967,275244,44.61
1_Year,10-19,1371394,654763,47.74
All,10-19,1626317,803474,49.4
1_Month,20-29,59574,25997,43.64
3_Month,20-29,229638,52972,23.07
6_Month,20-29,658703,213654,32.44
1_Year,20-29,1211249,474528,39.18
All,20-29,1465947,596290,40.68
1_Month,30-39,71551,32828,45.88
3_Month,30-39,237419,66636,28.07
6_Month,30-39,665395,262352,39.43
1_Year,30-39,1155890,516663,44.7
All,30-39,1365858,603232,44.17
1_Month,40-49,69559,31705,45.58
3_Month,40-49,225193,67262,29.87
6_Month,40-49,623526,250042,40.1
1_Year,40-49,1036862,471622,45.49
All,40-49,1213295,546347,45.03
1_Month,50-59,64083,30204,47.13
3_Month,50-59,203788,63020,30.92
6_Month,50-59,514102,189686,36.9
1_Year,50-59,807484,328874,40.73
All,50-59,948195,385590,40.67
1_Month,60-69,69315,33167,47.85
3_Month,60-69,198043,67769,34.22
6_Month,60-69,446792,158113,35.39
1_Year,60-69,670458,249293,37.18
All,60-69,780884,287875,36.87
1_Month,70-79,64181,29077,45.3
3_Month,70-79,154585,59574,38.54
6_Month,70-79,304774,112029,36.76
1_Year,70-79,434199,158710,36.55
All,70-79,504131,179449,35.6
1_Month,80-89,39119,13520,34.56
3_Month,80-89,69174,24892,35.98
6_Month,80-89,118218,45098,38.15
1_Year,80-89,169447,63627,37.55
All,80-89,213407,74629,34.97
1_Month,90+,12165,3416,28.08
3_Month,90+,18570,5912,31.84
6_Month,90+,28236,10870,38.5
1_Year,90+,40259,15752,39.13
All,90+,55355,19396,35.04
