period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,128166,36939,28.82
3_Month,0-9,995431,437685,43.97
6_Month,0-9,1236835,501406,40.54
1_Year,0-9,1485229,615543,41.44
All,0-9,1684013,723438,42.96
1_Month,10-19,134341,35523,26.44
3_Month,10-19,849360,440942,51.91
6_Month,10-19,1145906,537078,46.87
1_Year,10-19,1376802,621316,45.13
All,10-19,1598013,766573,47.97
1_Month,20-29,172691,41904,24.27
3_Month,20-29,713896,299565,41.96
6_Month,20-29,971998,366364,37.69
1_Year,20-29,1188852,426739,35.9
All,20-29,1411005,548936,38.9
1_Month,30-39,175780,47368,26.95
3_Month,30-39,731475,338618,46.29
6_Month,30-39,944433,394471,41.77
1_Year,30-39,1130812,455611,40.29
All,30-39,1310573,542401,41.39
1_Month,40-49,173603,44733,25.77
3_Month,40-49,675686,310588,45.97
6_Month,40-49,860321,361658,42.04
1_Year,40-49,1010769,408881,40.45
All,40-49,1162438,483545,41.6
1_Month,50-59,155134,35210,22.7
3_Month,50-59,509600,207973,40.81
6_Month,50-59,654064,239268,36.58
1_Year,50-59,769684,266333,34.6
All,50-59,893522,323932,36.25
1_Month,60-69,139191,29026,20.85
3_Month,60-69,414789,140393,33.85
6_Month,60-69,532895,163068,30.6
1_Year,60-69,626537,180216,28.76
All,60-69,724749,218849,30.2
1_Month,70-79,96092,19018,19.79
3_Month,70-79,257261,75754,29.45
6_Month,70-79,331185,87858,26.53
1_Year,70-79,392000,97252,24.81
All,70-79,455961,117750,25.82
1_Month,80-89,40713,6782,16.66
3_Month,80-89,99404,29623,29.8
6_Month,80-89,125405,33607,26.8
1_Year,80-89,153156,38112,24.88
All,80-89,193977,49119,25.32
1_Month,90+,10822,1453,13.43
3_Month,90+,24157,7577,31.37
6_Month,90+,29817,8547,28.66
1_Year,90+,36908,9739,26.39
All,90+,50545,13417,26.54
