gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage
זכר,0-9,3 חודשים,256559,10.9,2,0.1,15,1.2,50,0.8
זכר,0-9,חודש אחרון,20427,6.9,0,0,2,0.7,15,1.8
זכר,0-9,6 חודשים,281099,10.5,4,0.2,18,1.2,59,0.9
זכר,0-9,שנה,348096,11.1,5,0.1,22,0.9,82,0.7
זכר,0-9,מתחילת קורונה,416554,10.5,7,0.1,30,0.5,112,0.4
נקבה,0-9,שנה,274389,8.7,2,0,9,0.4,54,0.5
נקבה,0-9,מתחילת קורונה,331779,8.4,5,0,15,0.3,70,0.2
נקבה,0-9,חודש אחרון,16018,5.4,0,0,2,0.7,2,0.2
נקבה,0-9,3 חודשים,188774,8,2,0.1,8,0.7,32,0.5
נקבה,0-9,6 חודשים,214060,8,2,0.1,8,0.5,39,0.6
זכר,10-19,מתחילת קורונה,418468,10.5,7,0.1,23,0.4,78,0.3
זכר,10-19,3 חודשים,238720,10.1,4,0.2,9,0.7,23,0.4
זכר,10-19,6 חודשים,272194,10.2,4,0.2,10,0.7,27,0.4
זכר,10-19,חודש אחרון,17870,6.1,0,0,0,0,1,0.1
זכר,10-19,שנה,321951,10.2,5,0.1,14,0.6,43,0.4
נקבה,10-19,3 חודשים,220938,9.3,2,0.1,9,0.7,13,0.2
נקבה,10-19,6 חודשים,262592,9.8,2,0.1,10,0.7,18,0.3
נקבה,10-19,חודש אחרון,17888,6.1,0,0,1,0.3,3,0.4
נקבה,10-19,שנה,312704,9.9,4,0.1,15,0.6,35,0.3
נקבה,10-19,מתחילת קורונה,396582,10,7,0.1,23,0.4,77,0.3
זכר,20-29,שנה,172231,5.5,6,0.1,23,1,90,0.8
זכר,20-29,חודש אחרון,17233,5.8,1,0.5,4,1.4,1,0.1
זכר,20-29,מתחילת קורונה,243292,6.1,24,0.2,53,0.9,238,0.8
זכר,20-29,3 חודשים,122540,5.2,2,0.1,10,0.8,32,0.5
זכר,20-29,6 חודשים,143419,5.4,3,0.1,15,1,43,0.6
נקבה,20-29,מתחילת קורונה,340334,8.6,22,0.2,58,1,271,1
נקבה,20-29,חודש אחרון,24683,8.4,0,0,1,0.3,2,0.2
נקבה,20-29,3 חודשים,190710,8.1,5,0.2,10,0.8,18,0.3
נקבה,20-29,6 חודשים,220680,8.3,7,0.3,14,0.9,37,0.5
נקבה,20-29,שנה,257208,8.2,9,0.2,21,0.9,99,0.8
זכר,30-39,שנה,182196,5.8,24,0.6,47,1.9,216,1.8
זכר,30-39,חודש אחרון,20113,6.8,3,1.5,11,3.8,11,1.4
זכר,30-39,מתחילת קורונה,235017,5.9,52,0.5,102,1.7,627,2.2
זכר,30-39,3 חודשים,137181,5.8,8,0.3,23,1.9,55,0.9
זכר,30-39,6 חודשים,154337,5.8,13,0.5,33,2.2,77,1.1
נקבה,30-39,3 חודשים,212323,9,4,0.2,10,0.8,52,0.9
נקבה,30-39,חודש אחרון,26751,9.1,0,0,4,1.4,9,1.1
נקבה,30-39,6 חודשים,237313,8.9,5,0.2,18,1.2,80,1.2
נקבה,30-39,שנה,276111,8.8,15,0.4,39,1.6,230,1.9
נקבה,30-39,מתחילת קורונה,338025,8.5,36,0.3,100,1.7,584,2.1
זכר,40-49,שנה,166072,5.3,54,1.3,118,4.9,473,4
זכר,40-49,חודש אחרון,18218,6.2,1,0.5,8,2.7,10,1.2
זכר,40-49,מתחילת קורונה,210224,5.3,118,1.1,263,4.4,1400,4.9
זכר,40-49,3 חודשים,127851,5.4,14,0.6,41,3.4,116,1.9
זכר,40-49,6 חודשים,143513,5.4,25,1,67,4.4,159,2.3
נקבה,40-49,6 חודשים,215401,8.1,14,0.5,29,1.9,111,1.6
נקבה,40-49,3 חודשים,192505,8.1,9,0.4,17,1.4,72,1.2
נקבה,40-49,חודש אחרון,26087,8.8,1,0.5,7,2.4,5,0.6
נקבה,40-49,שנה,243906,7.8,20,0.5,52,2.2,333,2.8
נקבה,40-49,מתחילת קורונה,297650,7.5,75,0.7,136,2.3,954,3.4
זכר,50-59,3 חודשים,85373,3.6,52,2.3,88,7.2,266,4.4
זכר,50-59,6 חודשים,95301,3.6,75,2.9,128,8.5,334,4.9
