cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
אבו ג'ווייעד (שבט),קטן מ-15,אין מידע,31,66.68,6.45,כתום,4649
אבו גוש,קטן מ-15,אין מידע,44,55.97,5.53,צהוב,7862
אבו סנאן,קטן מ-15,אין מידע,44,30.76,4.81,צהוב,14306
אבן יהודה,21,16.54,127,90.48,7.54,אדום,14036
אום אל-פחם,קטן מ-15,אין מידע,19,3.35,3.37,ירוק,56713
אופקים,37,24.50,151,46.64,7.99,אדום,32378
אור יהודה,28,15.38,182,49.74,7.03,כתום,36587
אור עקיבא,25,20.00,125,64.38,7.73,אדום,19417
אורנית,קטן מ-15,אין מידע,58,64.37,7.54,אדום,9010
אזור,15,19.23,78,58.97,7.98,אדום,13228
אילת,55,21.40,257,48.95,7.52,אדום,52507
אלעד,קטן מ-15,אין מידע,33,6.71,4.35,ירוק,49179
אלפי מנשה,קטן מ-15,אין מידע,47,58.67,7.93,אדום,8011
אלקנה,קטן מ-15,אין מידע,61,154.08,8.99,אדום,3959
אעבלין,קטן מ-15,אין מידע,16,11.84,5.8,צהוב,13515
אפרת,15,22.73,66,57.79,7.06,כתום,11420
אריאל,19,17.12,111,54.18,8.5,אדום,20488
אשדוד,183,17.01,1076,47.54,7.8,אדום,226329
אשקלון,159,15.90,1000,68.29,8.53,אדום,146442
באקה אל-גרביה,קטן מ-15,אין מידע,35,11.50,5.59,צהוב,30448
באר יעקב,45,28.85,156,54.13,8.26,אדום,28818
באר שבע,297,19.01,1562,74.16,8.41,אדום,210624
בית דגן,קטן מ-15,אין מידע,33,45.22,7.2,כתום,7298
בית שאן,18,13.04,138,72.71,7.37,כתום,18980
בית שמש,28,16.57,169,12.78,5.27,צהוב,132210
ביתר עילית,קטן מ-15,אין מידע,16,2.61,2.11,ירוק,61297
בני ברק,19,15.45,123,5.91,3.49,ירוק,208031
"בני עי""ש",קטן מ-15,אין מידע,24,34.77,7.46,כתום,6902
בנימינה-גבעת עדה,29,28.16,103,64.49,7.68,אדום,15971
בת חפר,קטן מ-15,אין מידע,21,39.79,6.56,כתום,5278
בת ים,80,11.94,670,52.44,7.22,כתום,127772
ג'דיידה-מכר,קטן מ-15,אין מידע,18,8.44,3.88,ירוק,21331
גבע בנימין,קטן מ-15,אין מידע,17,29.53,8.13,אדום,5757
גבעת ברנר,קטן מ-15,אין מידע,26,97.56,8.65,אדום,2665
גבעת זאב,קטן מ-15,אין מידע,59,30.72,6.25,כתום,19205
גבעת שמואל,36,24.66,146,53.61,7.14,כתום,27236
גבעתיים,92,21.70,424,69.65,7.8,אדום,60872
גדרה,56,29.47,190,65.96,7.66,אדום,28805
גן יבנה,41,30.15,136,56.93,7.79,אדום,23887
גן נר,קטן מ-15,אין מידע,27,100.00,9.64,אדום,2700
גני תקווה,34,21.12,161,74.86,6.97,כתום,21508
דאלית אל-כרמל,קטן מ-15,אין מידע,19,10.64,4.64,צהוב,17862
דימונה,54,22.98,235,67.23,8.18,אדום,34954
הוד השרון,102,20.69,493,76.13,7.77,אדום,64755
הר אדר,קטן מ-15,אין מידע,26,63.46,7.06,כתום,4097
הרצליה,161,18.40,875,88.20,7.47,כתום,99208
זכרון יעקב,30,22.39,134,57.01,7.64,אדום,23503
חדרה,94,18.47,509,51.45,7.42,כתום,98928
