instituteDesc,occupancy,gOccupancy,occupancyDate
יוספטל,37.5,41.5,2022-04-14T00:00:00.000Z
רבין ק. השרון,39.5,48.5,2022-04-14T00:00:00.000Z
סורוקה,51.2,69.9,2022-04-14T00:00:00.000Z
מאיר,67.5,85.5,2022-04-14T00:00:00.000Z
הכרמל,67,70.6,2022-04-14T00:00:00.000Z
ברזילי,72.9,73.7,2022-04-14T00:00:00.000Z
וולפסון,77.9,68.8,2022-04-14T00:00:00.000Z
קפלן,77.3,82.7,2022-04-14T00:00:00.000Z
זיו צפת,78.1,79.5,2022-04-14T00:00:00.000Z
בני ציון,80.2,85.7,2022-04-14T00:00:00.000Z
שמיר,81.1,69.7,2022-04-14T00:00:00.000Z
פוריה,82.1,78.3,2022-04-14T00:00:00.000Z
לניאדו,83.3,74.7,2022-04-14T00:00:00.000Z
הדסה הר הצופים,86.1,85.8,2022-04-14T00:00:00.000Z
"רמב""ם",89.4,82.2,2022-04-14T00:00:00.000Z
הלל יפה,91.8,81.4,2022-04-14T00:00:00.000Z
שיבא,95,104.3,2022-04-14T00:00:00.000Z
נהריה,98.4,85.3,2022-04-14T00:00:00.000Z
הדסה עין כרם,101,92.2,2022-04-14T00:00:00.000Z
רבין ק. בילינסון,104.8,88.3,2022-04-14T00:00:00.000Z
אסותא אשדוד,118.6,110.9,2022-04-14T00:00:00.000Z
