name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,93.86075592041016,47
יוספטל,,40,10
שמיר,,69.69696807861328,40
וולפסון,,76.28111267089844,20
זיו צפת,,81.55619812011719,20
הלל יפה,,92.6213607788086,21
נהריה,,80.77455139160156,18
ברזילי,,80.29801177978516,28
פוריה,,65.07041931152344,5
סוראסקי,,113.1511535644531,55
בני ציון,,80.83140563964844,11
רבין ק. בילינסון,,81.07784271240234,39
סורוקה,,77.99827575683594,16
מאיר,,69.53727722167969,12
קפלן,,79.4223861694336,27
"רמב""ם",,93.03278350830078,23
הכרמל,,79.55010223388672,7
השרון ק. גולדה,,54.77178573608398,7
הדסה עין כרם,,,60
הסקוטי,,30.82706832885742,2
המשפחה הקדושה,,,0
סנט ג'וזף,,,2
שערי צדק,,106.3882064819336,33
אל מקאסד,,,0
לניאדו,,76.60166931152344,20
אוגוסטה ויקטוריה,,,1
מעייני הישועה,,103.7974700927734,14
אסותא אשדוד,,,4
שניידר,,,0
סנט וינסנט,,27.61194038391113,1
המרכזי בעמק,,73.96551513671875,24
