name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,100.0632934570313,31
יוספטל,,40,15
שמיר,,69.36026763916016,32
וולפסון,,66.61785888671875,15
זיו צפת,,80.11527252197266,15
הלל יפה,,81.9417495727539,21
נהריה,,77.123291015625,14
ברזילי,,76.32450103759766,27
פוריה,,65.07041931152344,5
סוראסקי,,120.4953002929688,51
בני ציון,,89.83834075927734,5
רבין ק. בילינסון,,87.6646728515625,40
סורוקה,,70.92321014404297,18
מאיר,,76.34961700439453,19
קפלן,,85.5595703125,29
"רמב""ם",,91.59835815429688,10
הכרמל,,82.20858764648438,8
השרון ק. גולדה,,60.16597366333008,3
הדסה עין כרם,,,53
הסקוטי,,30.82706832885742,1
סנט וינסנט,,,0
המשפחה הקדושה,,,0
סנט ג'וזף,,,2
שערי צדק,,102.3341522216797,19
אל מקאסד,,,0
לניאדו,,81.89414978027344,23
אוגוסטה ויקטוריה,,,1
מעייני הישועה,,87.97468566894531,7
אסותא אשדוד,,,7
שניידר,,,0
המרכזי בעמק,,70.86206817626953,37
