age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,169450,25776,1505185,11.3,1.7
20-29,484346,173581,1277634,37.9,13.6
30-39,548733,213877,1186386,46.3,18
40-49,669590,372528,1080768,62,34.5
50-59,597660,446598,832687,71.8,53.6
60-69,580959,516179,735380,79,70.2
70-79,440296,406234,462148,95.3,87.9
80-89,196707,179442,222547,88.4,80.6
90+,46350,41223,50589,91.6,81.5
