name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,95.44303894042969,64
יוספטל,,73.84615325927734,4
שמיר,,71.04376983642578,60
וולפסון,,76.72035217285156,28
זיו צפת,,75.79251098632812,19
הלל יפה,,84.07766723632812,22
נהריה,,79.11479949951172,21
ברזילי,,80.13245391845703,23
פוריה,,63.09859085083008,7
סוראסקי,,112.211784362793,57
בני ציון,,86.1431884765625,10
רבין ק. בילינסון,,86.70658874511719,45
סורוקה,,77.99827575683594,21
מאיר,,74.29306030273438,19
קפלן,,75.63176727294922,47
"רמב""ם",,93.34016418457031,29
הכרמל,,74.2331314086914,17
השרון ק. גולדה,,59.33609771728516,18
הדסה עין כרם,,,68
הסקוטי,,73.68421173095703,1
סנט וינסנט,,31.34328269958496,1
המשפחה הקדושה,,,0
סנט ג'וזף,,,0
שערי צדק,,113.1449661254883,31
אל מקאסד,,,0
לניאדו,,101.1142044067383,30
אוגוסטה ויקטוריה,,,1
מעייני הישועה,,98.73417663574219,31
אסותא אשדוד,,,3
שניידר,,,0
המרכזי בעמק,,66.37931060791016,25
