instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,54.4,64.7,2022-03-31T00:00:00.000Z
סורוקה,62.4,77.6,2022-03-31T00:00:00.000Z
הדסה הר הצופים,66.7,80.2,2022-03-31T00:00:00.000Z
איכילוב,68.3,110.5,2022-03-31T00:00:00.000Z
הכרמל,72.6,84.5,2022-03-31T00:00:00.000Z
מאיר,78,88.6,2022-03-31T00:00:00.000Z
הלל יפה,80.1,78.1,2022-03-31T00:00:00.000Z
שמיר,85.7,76.2,2022-03-31T00:00:00.000Z
יוספטל,87.5,69.2,2022-03-31T00:00:00.000Z
וולפסון,88.5,79.5,2022-03-31T00:00:00.000Z
בני ציון,88.4,92.1,2022-03-31T00:00:00.000Z
לניאדו,91,85.8,2022-03-31T00:00:00.000Z
שמואל הרופא,94.4,81.2,2022-03-31T00:00:00.000Z
המרכזי בעמק,94.8,67.9,2022-03-31T00:00:00.000Z
ברזילי,97.4,84.8,2022-03-31T00:00:00.000Z
"רמב""ם",99.5,91.1,2022-03-31T00:00:00.000Z
קפלן,99.3,95.8,2022-03-31T00:00:00.000Z
פוריה,100,77.7,2022-03-31T00:00:00.000Z
זיו צפת,104.7,84.4,2022-03-31T00:00:00.000Z
נהריה,117.9,99.7,2022-03-31T00:00:00.000Z
מ.גריאטרי פרדס חנה,,41.2,2022-03-31T00:00:00.000Z
רבין ק. בילינסון,113.2,102.7,2022-03-31T00:00:00.000Z
הדסה עין כרם,116.5,96.8,2022-03-31T00:00:00.000Z
אסותא אשדוד,137.3,108.2,2022-03-31T00:00:00.000Z
