section,male,female,period
0-9,"{'amount': 2, 'percentage': 0.3}","{'amount': 3, 'percentage': 0.4}",חודש אחרון
0-9,"{'amount': 9, 'percentage': 0.6}","{'amount': 6, 'percentage': 0.4}",3 חודשים
0-9,"{'amount': 114, 'percentage': 0.4}","{'amount': 75, 'percentage': 0.3}",מתחילת קורונה
0-9,"{'amount': 83, 'percentage': 0.7}","{'amount': 56, 'percentage': 0.4}",שנה
0-9,"{'amount': 57, 'percentage': 0.8}","{'amount': 37, 'percentage': 0.5}",6 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 0.3}",חודש אחרון
10-19,"{'amount': 77, 'percentage': 0.3}","{'amount': 79, 'percentage': 0.3}",מתחילת קורונה
10-19,"{'amount': 41, 'percentage': 0.3}","{'amount': 35, 'percentage': 0.3}",שנה
10-19,"{'amount': 23, 'percentage': 0.3}","{'amount': 16, 'percentage': 0.2}",6 חודשים
10-19,"{'amount': 1, 'percentage': 0.1}","{'amount': 3, 'percentage': 0.2}",3 חודשים
20-29,"{'amount': 2, 'percentage': 0.3}","{'amount': 2, 'percentage': 0.3}",חודש אחרון
20-29,"{'amount': 245, 'percentage': 0.8}","{'amount': 272, 'percentage': 0.9}",מתחילת קורונה
20-29,"{'amount': 93, 'percentage': 0.7}","{'amount': 99, 'percentage': 0.8}",שנה
20-29,"{'amount': 6, 'percentage': 0.4}","{'amount': 3, 'percentage': 0.2}",3 חודשים
20-29,"{'amount': 41, 'percentage': 0.6}","{'amount': 24, 'percentage': 0.3}",6 חודשים
30-39,"{'amount': 3, 'percentage': 0.4}","{'amount': 2, 'percentage': 0.3}",חודש אחרון
30-39,"{'amount': 11, 'percentage': 0.7}","{'amount': 13, 'percentage': 0.8}",3 חודשים
30-39,"{'amount': 627, 'percentage': 2.1}","{'amount': 597, 'percentage': 2}",מתחילת קורונה
30-39,"{'amount': 218, 'percentage': 1.7}","{'amount': 223, 'percentage': 1.7}",שנה
30-39,"{'amount': 60, 'percentage': 0.8}","{'amount': 65, 'percentage': 0.9}",6 חודשים
40-49,"{'amount': 19, 'percentage': 1.2}","{'amount': 12, 'percentage': 0.8}",3 חודשים
40-49,"{'amount': 8, 'percentage': 1.1}","{'amount': 4, 'percentage': 0.6}",חודש אחרון
40-49,"{'amount': 1408, 'percentage': 4.8}","{'amount': 968, 'percentage': 3.3}",מתחילת קורונה
40-49,"{'amount': 469, 'percentage': 3.7}","{'amount': 335, 'percentage': 2.6}",שנה
40-49,"{'amount': 138, 'percentage': 1.9}","{'amount': 84, 'percentage': 1.1}",6 חודשים
50-59,"{'amount': 305, 'percentage': 4.2}","{'amount': 209, 'percentage': 2.9}",6 חודשים
50-59,"{'amount': 13, 'percentage': 1.8}","{'amount': 16, 'percentage': 2.3}",חודש אחרון
50-59,"{'amount': 2242, 'percentage': 7.6}","{'amount': 1579, 'percentage': 5.3}",מתחילת קורונה
50-59,"{'amount': 723, 'percentage': 5.7}","{'amount': 536, 'percentage': 4.2}",שנה
50-59,"{'amount': 46, 'percentage': 2.9}","{'amount': 34, 'percentage': 2.2}",3 חודשים
60-69,"{'amount': 63, 'percentage': 9}","{'amount': 39, 'percentage': 5.5}",חודש אחרון
60-69,"{'amount': 3327, 'percentage': 11.3}","{'amount': 2247, 'percentage': 7.6}",מתחילת קורונה
60-69,"{'amount': 1233, 'percentage': 9.7}","{'amount': 906, 'percentage': 7.1}",שנה
60-69,"{'amount': 138, 'percentage': 8.7}","{'amount': 83, 'percentage': 5.3}",3 חודשים
60-69,"{'amount': 647, 'percentage': 8.9}","{'amount': 444, 'percentage': 6.1}",6 חודשים
70-79,"{'amount': 1037, 'percentage': 14.2}","{'amount': 760, 'percentage': 10.4}",6 חודשים
70-79,"{'amount': 109, 'percentage': 15.5}","{'amount': 63, 'percentage': 9}",חודש אחרון
70-79,"{'amount': 3766, 'percentage': 12.7}","{'amount': 2835, 'percentage': 9.6}",מתחילת קורונה
70-79,"{'amount': 1646, 'percentage': 12.9}","{'amount': 1271, 'percentage': 10}",שנה
70-79,"{'amount': 236, 'percentage': 15}","{'amount': 150, 'percentage': 9.5}",3 חודשים
80-89,"{'amount': 132, 'percentage': 18.8}","{'amount': 111, 'percentage': 15.8}",חודש אחרון
80-89,"{'amount': 3165, 'percentage': 10.7}","{'amount': 3247, 'percentage': 11}",מתחילת קורונה
80-89,"{'amount': 1644, 'percentage': 12.9}","{'amount': 1673, 'percentage': 13.1}",שנה
80-89,"{'amount': 251, 'percentage': 15.9}","{'amount': 252, 'percentage': 16}",3 חודשים
80-89,"{'amount': 1124, 'percentage': 15.4}","{'amount': 1139, 'percentage': 15.6}",6 חודשים
90+,"{'amount': 132, 'percentage': 8.4}","{'amount': 173, 'percentage': 11}",3 חודשים
90+,"{'amount': 49, 'percentage': 7}","{'amount': 80, 'percentage': 11.4}",חודש אחרון
90+,"{'amount': 1074, 'percentage': 3.6}","{'amount': 1599, 'percentage': 5.4}",מתחילת קורונה
90+,"{'amount': 598, 'percentage': 4.7}","{'amount': 877, 'percentage': 6.9}",שנה
90+,"{'amount': 474, 'percentage': 6.5}","{'amount': 625, 'percentage': 8.6}",6 חודשים
