cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
'Qazir,קטן מ-15,אין מידע,16,54.11,10,אדום,2957
Abu Ghosh,קטן מ-15,אין מידע,70,89.04,8.41,אדום,7862
Abu Juwei'id,קטן מ-15,אין מידע,37,79.59,10,אדום,4649
Abu Sinan,17,12.78,133,92.97,10,אדום,14306
Afula,87,15.13,575,101.15,10,אדום,56844
Ahuzzat Baraq,קטן מ-15,אין מידע,21,87.57,10,אדום,2398
Akko,53,13.25,400,80.78,10,אדום,49517
Alfe Menashe,קטן מ-15,אין מידע,66,82.39,10,אדום,8011
Ar'ara,קטן מ-15,אין מידע,46,18.02,9.17,אדום,25525
Arad,18,9.05,199,73.24,10,אדום,27170
Ari'el,33,18.13,182,88.83,10,אדום,20488
Arrabe,קטן מ-15,אין מידע,50,19.03,8.28,אדום,26274
Ashdod,320,18.31,1748,77.23,10,אדום,226329
Ashqelon,282,20.11,1402,95.74,10,אדום,146442
Atlit,15,20.55,73,75.13,10,אדום,9716
Avne Hefez,קטן מ-15,אין מידע,16,76.96,7.06,כתום,2079
Azor,21,16.15,130,98.28,10,אדום,13228
Baqa Al-Gharbiyye,15,22.39,67,22.00,8.46,אדום,30448
Bareqet,קטן מ-15,אין מידע,16,76.01,8.35,אדום,2105
Basma,קטן מ-15,אין מידע,22,21.46,9.38,אדום,10252
Basmat Tab'un,קטן מ-15,אין מידע,31,38.75,7.81,אדום,8001
Bat Hefer,קטן מ-15,אין מידע,50,94.73,10,אדום,5278
Bat Yam,158,13.06,1210,94.70,10,אדום,127772
Be'er Sheva,283,13.73,2061,97.85,10,אדום,210624
Be'er Ya'aqov,38,24.84,153,53.09,10,אדום,28818
Beit Jann,קטן מ-15,אין מידע,17,13.97,6.63,כתום,12169
Bene Ayish,קטן מ-15,אין מידע,68,98.52,9.5,אדום,6902
Bene Beraq,35,12.20,287,13.80,7.86,אדום,208031
Bet Arye,קטן מ-15,אין מידע,21,39.31,10,אדום,5342
Bet Dagan,קטן מ-15,אין מידע,73,100.03,10,אדום,7298
Bet El,קטן מ-15,אין מידע,18,30.37,7.63,אדום,5926
