period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,8207,1078,13.14
3_Month,0-9,44953,14086,31.33
6_Month,0-9,230564,57119,24.77
1_Year,0-9,1286336,547691,42.58
All,0-9,1712412,766318,44.75
1_Month,10-19,12096,1787,14.77
3_Month,10-19,48697,12078,24.8
6_Month,10-19,246159,54997,22.34
1_Year,10-19,1205080,581959,48.29
All,10-19,1629622,807676,49.56
1_Month,20-29,16497,1994,12.09
3_Month,20-29,69370,18957,27.33
6_Month,20-29,325186,67329,20.7
1_Year,20-29,1080629,426294,39.45
All,20-29,1472241,603099,40.96
1_Month,30-39,16857,2683,15.92
3_Month,30-39,74282,23280,31.34
6_Month,30-39,323440,85541,26.45
1_Year,30-39,1044564,470249,45.02
All,30-39,1371770,611511,44.58
1_Month,40-49,18057,3034,16.8
3_Month,40-49,72380,23387,32.31
6_Month,40-49,311322,86626,27.83
1_Year,40-49,949319,439566,46.3
All,40-49,1218682,555304,45.57
1_Month,50-59,18008,3294,18.29
3_Month,50-59,69288,23186,33.46
6_Month,50-59,280831,81679,29.08
1_Year,50-59,747203,315884,42.28
All,50-59,954087,395560,41.46
1_Month,60-69,20251,4299,21.23
3_Month,60-69,77350,27298,35.29
6_Month,60-69,268539,89160,33.2
1_Year,60-69,626906,248427,39.63
All,60-69,787598,300703,38.18
1_Month,70-79,21539,5126,23.8
3_Month,70-79,74714,26604,35.61
6_Month,70-79,207638,80044,38.55
1_Year,70-79,412420,165345,40.09
All,70-79,512431,193424,37.75
1_Month,80-89,15803,2240,14.17
3_Month,80-89,44544,12771,28.67
6_Month,80-89,89702,34266,38.2
1_Year,80-89,160392,66524,41.48
All,80-89,218400,81084,37.13
1_Month,90+,5337,499,9.35
3_Month,90+,13840,3346,24.18
6_Month,90+,23267,8421,36.19
1_Year,90+,38125,16475,43.21
All,90+,56917,21027,36.94
