name,value
פראמדיקים,0
חובשי רפואת חירום,0
ריפוי בעיסוק,6
פסיכולוגיה,9
קלינאות תקשורת,11
שירות סוציאלי,15
פיזיותרפיה,16
מערך לוגיסטי,20
מעבדה,21
רוקחות,23
כוח עזר,50
סקטורים אחרים,174
מינהל ומשק,265
