section,male,female,period
0-9,"{'amount': 4, 'percentage': 0.2}","{'amount': 2, 'percentage': 0.1}",6 חודשים
0-9,"{'amount': 5, 'percentage': 0.1}","{'amount': 2, 'percentage': 0}",שנה
0-9,"{'amount': 1, 'percentage': 0.1}","{'amount': 1, 'percentage': 0.1}",3 חודשים
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
0-9,"{'amount': 7, 'percentage': 0.1}","{'amount': 5, 'percentage': 0}",מתחילת קורונה
10-19,"{'amount': 5, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.1}",שנה
10-19,"{'amount': 4, 'percentage': 0.2}","{'amount': 2, 'percentage': 0.1}",6 חודשים
10-19,"{'amount': 1, 'percentage': 0.1}","{'amount': 0, 'percentage': 0}",3 חודשים
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 7, 'percentage': 0.1}","{'amount': 7, 'percentage': 0.1}",מתחילת קורונה
20-29,"{'amount': 2, 'percentage': 0.1}","{'amount': 6, 'percentage': 0.2}",6 חודשים
20-29,"{'amount': 1, 'percentage': 0.1}","{'amount': 1, 'percentage': 0.1}",3 חודשים
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
20-29,"{'amount': 24, 'percentage': 0.2}","{'amount': 22, 'percentage': 0.2}",מתחילת קורונה
20-29,"{'amount': 5, 'percentage': 0.1}","{'amount': 9, 'percentage': 0.2}",שנה
30-39,"{'amount': 12, 'percentage': 0.5}","{'amount': 5, 'percentage': 0.2}",6 חודשים
30-39,"{'amount': 25, 'percentage': 0.6}","{'amount': 16, 'percentage': 0.4}",שנה
30-39,"{'amount': 5, 'percentage': 0.5}","{'amount': 3, 'percentage': 0.3}",3 חודשים
30-39,"{'amount': 0, 'percentage': 0}","{'amount': 1, 'percentage': 1.1}",חודש אחרון
30-39,"{'amount': 53, 'percentage': 0.5}","{'amount': 37, 'percentage': 0.3}",מתחילת קורונה
40-49,"{'amount': 7, 'percentage': 0.7}","{'amount': 3, 'percentage': 0.3}",3 חודשים
40-49,"{'amount': 120, 'percentage': 1.1}","{'amount': 76, 'percentage': 0.7}",מתחילת קורונה
40-49,"{'amount': 21, 'percentage': 0.8}","{'amount': 13, 'percentage': 0.5}",6 חודשים
40-49,"{'amount': 52, 'percentage': 1.2}","{'amount': 20, 'percentage': 0.5}",שנה
40-49,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון
50-59,"{'amount': 133, 'percentage': 3.1}","{'amount': 78, 'percentage': 1.8}",שנה
50-59,"{'amount': 28, 'percentage': 2.7}","{'amount': 13, 'percentage': 1.2}",3 חודשים
50-59,"{'amount': 67, 'percentage': 2.6}","{'amount': 41, 'percentage': 1.6}",6 חודשים
50-59,"{'amount': 3, 'percentage': 3.3}","{'amount': 2, 'percentage': 2.2}",חודש אחרון
50-59,"{'amount': 382, 'percentage': 3.6}","{'amount': 199, 'percentage': 1.9}",מתחילת קורונה
60-69,"{'amount': 83, 'percentage': 7.9}","{'amount': 52, 'percentage': 4.9}",3 חודשים
60-69,"{'amount': 991, 'percentage': 9.2}","{'amount': 550, 'percentage': 5.1}",מתחילת קורונה
60-69,"{'amount': 179, 'percentage': 6.9}","{'amount': 109, 'percentage': 4.2}",6 חודשים
60-69,"{'amount': 349, 'percentage': 8.1}","{'amount': 248, 'percentage': 5.7}",שנה
60-69,"{'amount': 1, 'percentage': 1.1}","{'amount': 4, 'percentage': 4.4}",חודש אחרון
70-79,"{'amount': 600, 'percentage': 13.9}","{'amount': 434, 'percentage': 10}",שנה
70-79,"{'amount': 148, 'percentage': 14}","{'amount': 108, 'percentage': 10.2}",3 חודשים
70-79,"{'amount': 341, 'percentage': 13.2}","{'amount': 249, 'percentage': 9.7}",6 חודשים
70-79,"{'amount': 11, 'percentage': 12.1}","{'amount': 14, 'percentage': 15.4}",חודש אחרון
70-79,"{'amount': 1628, 'percentage': 15.2}","{'amount': 1031, 'percentage': 9.6}",מתחילת קורונה
80-89,"{'amount': 491, 'percentage': 19}","{'amount': 463, 'percentage': 17.9}",6 חודשים
80-89,"{'amount': 778, 'percentage': 18}","{'amount': 737, 'percentage': 17}",שנה
80-89,"{'amount': 203, 'percentage': 19.3}","{'amount': 173, 'percentage': 16.4}",3 חודשים
80-89,"{'amount': 12, 'percentage': 13.2}","{'amount': 14, 'percentage': 15.4}",חודש אחרון
80-89,"{'amount': 1892, 'percentage': 17.6}","{'amount': 1727, 'percentage': 16.1}",מתחילת קורונה
90+,"{'amount': 269, 'percentage': 10.4}","{'amount': 300, 'percentage': 11.6}",6 חודשים
90+,"{'amount': 370, 'percentage': 8.5}","{'amount': 462, 'percentage': 10.7}",שנה
90+,"{'amount': 114, 'percentage': 10.8}","{'amount': 109, 'percentage': 10.3}",3 חודשים
90+,"{'amount': 14, 'percentage': 15.4}","{'amount': 15, 'percentage': 16.5}",חודש אחרון
90+,"{'amount': 859, 'percentage': 8}","{'amount': 1126, 'percentage': 10.5}",מתחילת קורונה
