day_date,age_group,death_amount_vaccinated,death_amount_expired,death_amount_not_vaccinated,death_vaccinated_normalized,death_expired_normalized,death_not_vaccinated_normalized
2021-02-10T00:00:00.000Z,מעל גיל 60,9,0,10,0.8,0,2.8
2021-02-10T00:00:00.000Z,כלל האוכלוסיה,9,0,12,0.4,0,0.2
2021-02-11T00:00:00.000Z,כלל האוכלוסיה,8,0,17,0.4,0,0.3
2021-02-11T00:00:00.000Z,מעל גיל 60,8,0,16,0.7,0,4.5
2021-02-11T00:00:00.000Z,מתחת לגיל 60,0,0,1,0,0,0
2021-02-12T00:00:00.000Z,מתחת לגיל 60,0,0,4,0,0,0.1
2021-02-12T00:00:00.000Z,מעל גיל 60,10,0,17,0.9,0,4.8
2021-02-12T00:00:00.000Z,כלל האוכלוסיה,10,0,21,0.5,0,0.4
2021-02-13T00:00:00.000Z,מעל גיל 60,4,0,17,0.4,0,4.9
2021-02-13T00:00:00.000Z,מתחת לגיל 60,0,0,3,0,0,0.1
2021-02-13T00:00:00.000Z,כלל האוכלוסיה,4,0,20,0.2,0,0.4
2021-02-14T00:00:00.000Z,מתחת לגיל 60,0,0,4,0,0,0.1
2021-02-14T00:00:00.000Z,כלל האוכלוסיה,3,0,24,0.1,0,0.4
2021-02-14T00:00:00.000Z,מעל גיל 60,3,0,20,0.3,0,5.8
2021-02-15T00:00:00.000Z,מתחת לגיל 60,0,0,1,0,0,0
2021-02-15T00:00:00.000Z,כלל האוכלוסיה,1,0,13,0,0,0.2
2021-02-15T00:00:00.000Z,מעל גיל 60,1,0,12,0.1,0,3.6
2021-02-16T00:00:00.000Z,מתחת לגיל 60,0,0,4,0,0,0.1
2021-02-16T00:00:00.000Z,כלל האוכלוסיה,9,0,26,0.4,0,0.5
2021-02-16T00:00:00.000Z,מעל גיל 60,9,0,22,0.8,0,6.7
2021-02-17T00:00:00.000Z,מעל גיל 60,3,0,18,0.3,0,5.5
2021-02-17T00:00:00.000Z,מתחת לגיל 60,0,0,2,0,0,0
2021-02-17T00:00:00.000Z,כלל האוכלוסיה,3,0,20,0.1,0,0.4
2021-02-18T00:00:00.000Z,מעל גיל 60,5,0,18,0.4,0,5.6
2021-02-18T00:00:00.000Z,מתחת לגיל 60,0,0,1,0,0,0
2021-02-18T00:00:00.000Z,כלל האוכלוסיה,5,0,19,0.2,0,0.4
2021-02-19T00:00:00.000Z,כלל האוכלוסיה,4,0,13,0.2,0,0.3
2021-02-19T00:00:00.000Z,מעל גיל 60,4,0,10,0.4,0,3.1
2021-02-19T00:00:00.000Z,מתחת לגיל 60,0,0,3,0,0,0.1
2021-02-20T00:00:00.000Z,כלל האוכלוסיה,2,0,16,0.1,0,0.3
2021-02-20T00:00:00.000Z,מעל גיל 60,2,0,12,0.2,0,3.8
2021-02-20T00:00:00.000Z,מתחת לגיל 60,0,0,4,0,0,0.1
2021-02-21T00:00:00.000Z,כלל האוכלוסיה,4,0,16,0.2,0,0.3
2021-02-21T00:00:00.000Z,מעל גיל 60,3,0,14,0.3,0,4.5
2021-02-21T00:00:00.000Z,מתחת לגיל 60,1,0,2,0.1,0,0
2021-02-22T00:00:00.000Z,כלל האוכלוסיה,1,0,13,0,0,0.3
2021-02-22T00:00:00.000Z,מתחת לגיל 60,0,0,7,0,0,0.2
2021-02-22T00:00:00.000Z,מעל גיל 60,1,0,6,0.1,0,2
2021-02-23T00:00:00.000Z,כלל האוכלוסיה,3,0,26,0.1,0,0.5
2021-02-23T00:00:00.000Z,מעל גיל 60,2,0,23,0.2,0,7.7
2021-02-23T00:00:00.000Z,מתחת לגיל 60,1,0,3,0.1,0,0.1
2021-02-24T00:00:00.000Z,מתחת לגיל 60,0,0,4,0,0,0.1
2021-02-24T00:00:00.000Z,כלל האוכלוסיה,0,0,20,0,0,0.4
2021-02-24T00:00:00.000Z,מעל גיל 60,0,0,16,0,0,5.5
2021-02-25T00:00:00.000Z,כלל האוכלוסיה,5,0,14,0.2,0,0.3
