section,male,female,period
0-9,"{'amount': 22, 'percentage': 0.9}","{'amount': 10, 'percentage': 0.4}",שנה
0-9,"{'amount': 19, 'percentage': 1.2}","{'amount': 8, 'percentage': 0.5}",6 חודשים
0-9,"{'amount': 16, 'percentage': 1.4}","{'amount': 8, 'percentage': 0.7}",3 חודשים
0-9,"{'amount': 7, 'percentage': 1.5}","{'amount': 4, 'percentage': 0.8}",חודש אחרון
0-9,"{'amount': 30, 'percentage': 0.5}","{'amount': 15, 'percentage': 0.3}",מתחילת קורונה
10-19,"{'amount': 11, 'percentage': 0.7}","{'amount': 13, 'percentage': 0.8}",6 חודשים
10-19,"{'amount': 7, 'percentage': 0.6}","{'amount': 9, 'percentage': 0.8}",3 חודשים
10-19,"{'amount': 3, 'percentage': 0.6}","{'amount': 2, 'percentage': 0.4}",חודש אחרון
10-19,"{'amount': 12, 'percentage': 0.5}","{'amount': 15, 'percentage': 0.6}",שנה
10-19,"{'amount': 21, 'percentage': 0.4}","{'amount': 21, 'percentage': 0.4}",מתחילת קורונה
20-29,"{'amount': 29, 'percentage': 1.2}","{'amount': 22, 'percentage': 0.9}",שנה
20-29,"{'amount': 20, 'percentage': 1.2}","{'amount': 16, 'percentage': 1}",6 חודשים
20-29,"{'amount': 10, 'percentage': 0.9}","{'amount': 10, 'percentage': 0.9}",3 חודשים
20-29,"{'amount': 3, 'percentage': 0.6}","{'amount': 1, 'percentage': 0.2}",חודש אחרון
20-29,"{'amount': 51, 'percentage': 0.9}","{'amount': 55, 'percentage': 0.9}",מתחילת קורונה
30-39,"{'amount': 48, 'percentage': 1.9}","{'amount': 48, 'percentage': 1.9}",שנה
30-39,"{'amount': 33, 'percentage': 2}","{'amount': 22, 'percentage': 1.3}",6 חודשים
30-39,"{'amount': 25, 'percentage': 2.2}","{'amount': 9, 'percentage': 0.8}",3 חודשים
30-39,"{'amount': 17, 'percentage': 3.6}","{'amount': 6, 'percentage': 1.3}",חודש אחרון
30-39,"{'amount': 95, 'percentage': 1.6}","{'amount': 92, 'percentage': 1.6}",מתחילת קורונה
40-49,"{'amount': 115, 'percentage': 4.6}","{'amount': 62, 'percentage': 2.5}",שנה
40-49,"{'amount': 73, 'percentage': 4.4}","{'amount': 38, 'percentage': 2.3}",6 חודשים
40-49,"{'amount': 40, 'percentage': 3.5}","{'amount': 18, 'percentage': 1.6}",3 חודשים
40-49,"{'amount': 14, 'percentage': 3}","{'amount': 8, 'percentage': 1.7}",חודש אחרון
40-49,"{'amount': 241, 'percentage': 4.1}","{'amount': 139, 'percentage': 2.4}",מתחילת קורונה
50-59,"{'amount': 88, 'percentage': 7.6}","{'amount': 49, 'percentage': 4.2}",3 חודשים
50-59,"{'amount': 233, 'percentage': 9.2}","{'amount': 130, 'percentage': 5.2}",שנה
50-59,"{'amount': 150, 'percentage': 9.1}","{'amount': 79, 'percentage': 4.8}",6 חודשים
50-59,"{'amount': 39, 'percentage': 8.3}","{'amount': 14, 'percentage': 3}",חודש אחרון
50-59,"{'amount': 530, 'percentage': 9}","{'amount': 247, 'percentage': 4.2}",מתחילת קורונה
60-69,"{'amount': 317, 'percentage': 12.6}","{'amount': 231, 'percentage': 9.2}",שנה
60-69,"{'amount': 204, 'percentage': 12.4}","{'amount': 142, 'percentage': 8.6}",6 חודשים
60-69,"{'amount': 133, 'percentage': 11.5}","{'amount': 83, 'percentage': 7.2}",3 חודשים
60-69,"{'amount': 72, 'percentage': 15.3}","{'amount': 43, 'percentage': 9.1}",חודש אחרון
60-69,"{'amount': 899, 'percentage': 15.3}","{'amount': 478, 'percentage': 8.2}",מתחילת קורונה
70-79,"{'amount': 1011, 'percentage': 17.2}","{'amount': 573, 'percentage': 9.8}",מתחילת קורונה
70-79,"{'amount': 363, 'percentage': 14.4}","{'amount': 265, 'percentage': 10.5}",שנה
70-79,"{'amount': 233, 'percentage': 14.1}","{'amount': 176, 'percentage': 10.7}",6 חודשים
70-79,"{'amount': 184, 'percentage': 15.9}","{'amount': 119, 'percentage': 10.3}",3 חודשים
70-79,"{'amount': 75, 'percentage': 15.9}","{'amount': 46, 'percentage': 9.7}",חודש אחרון
80-89,"{'amount': 146, 'percentage': 12.6}","{'amount': 127, 'percentage': 11}",3 חודשים
80-89,"{'amount': 257, 'percentage': 10.2}","{'amount': 222, 'percentage': 8.8}",שנה
80-89,"{'amount': 172, 'percentage': 10.4}","{'amount': 152, 'percentage': 9.2}",6 חודשים
80-89,"{'amount': 49, 'percentage': 10.4}","{'amount': 48, 'percentage': 10.2}",חודש אחרון
80-89,"{'amount': 627, 'percentage': 10.7}","{'amount': 473, 'percentage': 8.1}",מתחילת קורונה
90+,"{'amount': 39, 'percentage': 3.4}","{'amount': 38, 'percentage': 3.3}",3 חודשים
90+,"{'amount': 59, 'percentage': 2.3}","{'amount': 61, 'percentage': 2.4}",שנה
90+,"{'amount': 44, 'percentage': 2.7}","{'amount': 46, 'percentage': 2.8}",6 חודשים
90+,"{'amount': 11, 'percentage': 2.3}","{'amount': 10, 'percentage': 2.1}",חודש אחרון
90+,"{'amount': 135, 'percentage': 2.3}","{'amount': 131, 'percentage': 2.2}",מתחילת קורונה
