instituteDesc,occupancy,gOccupancy,occupancyDate
רבין ק. השרון,46.5,53.1,2022-03-22T00:00:00.000Z
סורוקה,68.2,77.6,2022-03-22T00:00:00.000Z
הכרמל,75.5,76.9,2022-03-22T00:00:00.000Z
יוספטל,75,49.2,2022-03-22T00:00:00.000Z
מאיר,80,91.1,2022-03-22T00:00:00.000Z
פוריה,82.1,73.2,2022-03-22T00:00:00.000Z
וולפסון,84.8,79.8,2022-03-22T00:00:00.000Z
המרכזי בעמק,84.5,70.8,2022-03-22T00:00:00.000Z
שמיר,86.1,75.2,2022-03-22T00:00:00.000Z
בני ציון,90.9,87.8,2022-03-22T00:00:00.000Z
לניאדו,92.3,85.8,2022-03-22T00:00:00.000Z
ברזילי,94.8,82.9,2022-03-22T00:00:00.000Z
הדסה הר הצופים,97.2,96.5,2022-03-22T00:00:00.000Z
"רמב""ם",100.5,88.3,2022-03-22T00:00:00.000Z
קפלן,102.7,92.4,2022-03-22T00:00:00.000Z
זיו צפת,106.3,77.8,2022-03-22T00:00:00.000Z
רבין ק. בילינסון,109.3,95.1,2022-03-22T00:00:00.000Z
נהריה,111.6,96.6,2022-03-22T00:00:00.000Z
הלל יפה,112.3,92.8,2022-03-22T00:00:00.000Z
הדסה עין כרם,132,101.3,2022-03-22T00:00:00.000Z
