age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,106694,14501,1505185,7.1,1
20-29,280417,92545,1277634,21.9,7.2
30-39,326653,125871,1186386,27.5,10.6
40-49,537387,200584,1080768,49.7,18.6
50-59,528030,266129,832687,63.4,32
60-69,550936,448125,735380,74.9,60.9
70-79,424802,367949,462148,91.9,79.6
80-89,189066,161438,222547,85,72.5
90+,44326,37559,50589,87.6,74.2
