section,female,male,period,order_period
0-9,"{'amount': 2, 'percentage': 0}","{'amount': 5, 'percentage': 0.1}",שנה,2
0-9,"{'amount': 4, 'percentage': 0}","{'amount': 7, 'percentage': 0.1}",מתחילת קורונה,1
0-9,"{'amount': 0, 'percentage': 0}","{'amount': 2, 'percentage': 0.1}",חודש אחרון,5
0-9,"{'amount': 1, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.2}",3 חודשים,4
0-9,"{'amount': 1, 'percentage': 0}","{'amount': 5, 'percentage': 0.2}",6 חודשים,3
10-19,"{'amount': 2, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.1}",6 חודשים,3
10-19,"{'amount': 1, 'percentage': 0.1}","{'amount': 3, 'percentage': 0.2}",3 חודשים,4
10-19,"{'amount': 1, 'percentage': 0.1}","{'amount': 1, 'percentage': 0.1}",חודש אחרון,5
10-19,"{'amount': 6, 'percentage': 0.1}","{'amount': 6, 'percentage': 0.1}",מתחילת קורונה,1
10-19,"{'amount': 3, 'percentage': 0.1}","{'amount': 4, 'percentage': 0.1}",שנה,2
20-29,"{'amount': 21, 'percentage': 0.2}","{'amount': 24, 'percentage': 0.2}",מתחילת קורונה,1
20-29,"{'amount': 5, 'percentage': 0.3}","{'amount': 2, 'percentage': 0.1}",3 חודשים,4
20-29,"{'amount': 7, 'percentage': 0.2}","{'amount': 5, 'percentage': 0.2}",6 חודשים,3
20-29,"{'amount': 9, 'percentage': 0.2}","{'amount': 10, 'percentage': 0.2}",שנה,2
20-29,"{'amount': 4, 'percentage': 0.3}","{'amount': 1, 'percentage': 0.1}",חודש אחרון,5
30-39,"{'amount': 35, 'percentage': 0.3}","{'amount': 50, 'percentage': 0.5}",מתחילת קורונה,1
30-39,"{'amount': 4, 'percentage': 0.3}","{'amount': 4, 'percentage': 0.3}",חודש אחרון,5
30-39,"{'amount': 4, 'percentage': 0.2}","{'amount': 7, 'percentage': 0.4}",3 חודשים,4
30-39,"{'amount': 12, 'percentage': 0.4}","{'amount': 17, 'percentage': 0.6}",6 חודשים,3
30-39,"{'amount': 18, 'percentage': 0.4}","{'amount': 27, 'percentage': 0.6}",שנה,2
40-49,"{'amount': 4, 'percentage': 0.3}","{'amount': 8, 'percentage': 0.6}",חודש אחרון,5
40-49,"{'amount': 74, 'percentage': 0.7}","{'amount': 115, 'percentage': 1.1}",מתחילת קורונה,1
40-49,"{'amount': 38, 'percentage': 0.9}","{'amount': 64, 'percentage': 1.4}",שנה,2
40-49,"{'amount': 19, 'percentage': 0.6}","{'amount': 42, 'percentage': 1.4}",6 חודשים,3
40-49,"{'amount': 10, 'percentage': 0.5}","{'amount': 16, 'percentage': 0.8}",3 חודשים,4
50-59,"{'amount': 20, 'percentage': 1.4}","{'amount': 26, 'percentage': 1.9}",חודש אחרון,5
50-59,"{'amount': 190, 'percentage': 1.9}","{'amount': 363, 'percentage': 3.6}",מתחילת קורונה,1
50-59,"{'amount': 56, 'percentage': 1.8}","{'amount': 99, 'percentage': 3.3}",6 חודשים,3
50-59,"{'amount': 31, 'percentage': 1.6}","{'amount': 47, 'percentage': 2.4}",3 חודשים,4
50-59,"{'amount': 94, 'percentage': 2.1}","{'amount': 159, 'percentage': 3.6}",שנה,2
60-69,"{'amount': 269, 'percentage': 6.1}","{'amount': 378, 'percentage': 8.5}",שנה,2
60-69,"{'amount': 519, 'percentage': 5.1}","{'amount': 942, 'percentage': 9.3}",מתחילת קורונה,1
60-69,"{'amount': 50, 'percentage': 3.6}","{'amount': 79, 'percentage': 5.7}",חודש אחרון,5
60-69,"{'amount': 71, 'percentage': 3.6}","{'amount': 123, 'percentage': 6.3}",3 חודשים,4
60-69,"{'amount': 176, 'percentage': 5.8}","{'amount': 245, 'percentage': 8}",6 חודשים,3
70-79,"{'amount': 467, 'percentage': 10.5}","{'amount': 604, 'percentage': 13.6}",שנה,2
70-79,"{'amount': 315, 'percentage': 10.3}","{'amount': 402, 'percentage': 13.2}",6 חודשים,3
70-79,"{'amount': 182, 'percentage': 9.3}","{'amount': 250, 'percentage': 12.8}",3 חודשים,4
70-79,"{'amount': 130, 'percentage': 9.4}","{'amount': 185, 'percentage': 13.4}",חודש אחרון,5
70-79,"{'amount': 968, 'percentage': 9.5}","{'amount': 1541, 'percentage': 15.2}",מתחילת קורונה,1
80-89,"{'amount': 741, 'percentage': 16.7}","{'amount': 756, 'percentage': 17}",שנה,2
80-89,"{'amount': 1639, 'percentage': 16.2}","{'amount': 1777, 'percentage': 17.5}",מתחילת קורונה,1
80-89,"{'amount': 265, 'percentage': 19.2}","{'amount': 283, 'percentage': 20.5}",חודש אחרון,5
80-89,"{'amount': 374, 'percentage': 19.2}","{'amount': 371, 'percentage': 19}",3 חודשים,4
80-89,"{'amount': 518, 'percentage': 17}","{'amount': 529, 'percentage': 17.4}",6 חודשים,3
90+,"{'amount': 164, 'percentage': 11.9}","{'amount': 151, 'percentage': 10.9}",חודש אחרון,5
90+,"{'amount': 1068, 'percentage': 10.5}","{'amount': 799, 'percentage': 7.9}",מתחילת קורונה,1
90+,"{'amount': 238, 'percentage': 12.2}","{'amount': 208, 'percentage': 10.7}",3 חודשים,4
90+,"{'amount': 332, 'percentage': 10.9}","{'amount': 260, 'percentage': 8.5}",6 חודשים,3
90+,"{'amount': 445, 'percentage': 10}","{'amount': 342, 'percentage': 7.7}",שנה,2
